arrwidth1,arrwidth2,arrwidth3,arrwidth4,arrwidth5,keyb,type,orientation,instruction_image,block_filename,block_type,arrow11,arrow22,arrow33,arrow44,arrow55,keyb_3,orientation3,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome.started,key_resp.started,key_resp.keys,key_resp.rt,instruction_example.started,key_resp_3.started,key_resp_3.keys,key_resp_3.rt,instruction_task.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,text_2.started,A1.started,A2.started,A3.started,A4.started,A5.started,key_resp_4.started,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,fb.started,instruction_block.started,key_resp_8.started,key_resp_8.keys,key_resp_8.rt,text_8.started,text_5.started,A11_3.started,A22_2.started,A33_2.started,A44_2.started,A55_2.started,key_resp_9.started,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,M1_3.started,M2_2.started,M3_2.started,M4_2.started,M5_2.started,M6_2.started,M7_2.started,M8_2.started,A11_3.stopped,A22_2.stopped,A33_2.stopped,A44_2.stopped,A55_2.stopped,M1_3.stopped,M2_2.stopped,M3_2.stopped,M4_2.stopped,M5_2.stopped,M6_2.stopped,M7_2.stopped,M8_2.stopped,fixation.started,fixation.stopped,text_5.stopped,key_resp_9.stopped,ET,fb_3.started,fb_3.stopped,text_9.started,text_9.stopped,text_8.stopped,fb_4.started,text_7.started,text_7.stopped,endtext.started,fb_4.stopped,endtext.stopped,fixation_ITI,CCC,Acc,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,3,3,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.57873439999821,103.08135970000876,103.08135970000876,103.08135970000876,103.08135970000876,103.08135970000876,103.08135970000876,103.08135970000876,left,0,2.470225400000345,103.32113409999874,103.32113409999874,103.32113409999874,103.32113409999874,103.32113409999874,103.32113409999874,103.32113409999874,103.32113409999874,103.33241620000626,103.33241620000626,103.33241620000626,103.33241620000626,103.33241620000626,103.82128470001044,103.82128470001044,103.82128470001044,103.82128470001044,103.82128470001044,103.82128470001044,103.82128470001044,103.82128470001044,103.82128470001044,106.56822749999992,103.83426770000369,106.58117930000299,3,106.58117930000299,,107.33428439999989,,103.08135970000876,,,,,,,,,,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.84558570000809,108.82286070000555,108.82286070000555,108.82286070000555,108.84295820000989,111.96170310000889,,,,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,0,0,63,,,,,,,,,,,,,,,,,,,,,,,,111.96170310000889,111.96170310000889,space,16.82601610000711,128.82008370000403,129.31183859999874,129.31183859999874,129.31183859999874,129.31183859999874,129.31183859999874,129.31183859999874,129.31183859999874,left,1,2.809139500008314,132.2896122000093,132.2896122000093,132.2896122000093,132.2896122000093,132.2896122000093,132.2896122000093,132.2896122000093,132.2896122000093,132.3100204000075,132.3100204000075,132.3100204000075,132.3100204000075,132.3100204000075,132.78953609999735,132.78953609999735,132.78953609999735,132.78953609999735,132.78953609999735,132.78953609999735,132.78953609999735,132.78953609999735,132.78953609999735,132.78953609999735,132.8116832000087,132.8116832000087,3,132.8116832000087,133.5559796000016,133.5559796000016,134.0569075000094,,,,,,,,0,6.000000000000005,1.0,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,1,1,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0569075000094,134.55760030000238,134.55760030000238,134.55760030000238,134.55760030000238,134.55760030000238,134.55760030000238,134.55760030000238,left,0,2.2583267000009073,134.79983590000484,134.79983590000484,134.79983590000484,134.79983590000484,134.79983590000484,134.79983590000484,134.79983590000484,134.79983590000484,134.81220870000834,134.81220870000834,134.81220870000834,134.81220870000834,134.81220870000834,135.29894200000854,135.29894200000854,135.29894200000854,135.29894200000854,135.29894200000854,135.29894200000854,135.29894200000854,135.29894200000854,135.29894200000854,136.83255310000095,135.31205490000139,136.84736369999882,0.25,136.84736369999882,,137.59910610000952,,134.55760030000238,,,,,,,[0.875],2.570000000000002,0.5,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,2,2,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,138.09897710000223,138.61228729999857,138.61228729999857,138.61228729999857,138.61228729999857,138.61228729999857,138.61228729999857,138.61228729999857,left,1,2.3480179000034695,139.68706090000342,139.68706090000342,139.68706090000342,139.68706090000342,139.68706090000342,139.68706090000342,139.68706090000342,139.68706090000342,139.7210657000105,139.7210657000105,139.7210657000105,139.7210657000105,139.7210657000105,140.18895409999823,140.18895409999823,140.18895409999823,140.18895409999823,140.18895409999823,140.18895409999823,140.18895409999823,140.18895409999823,140.18895409999823,141.23532140000316,140.2213550000015,141.26709429999755,1.1100000000000008,141.26709429999755,142.01237350000883,142.01237350000883,142.51208130001032,,,,,,,,[1.04666667],3.3800000000000026,0.6666666666666666,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,3,3,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,142.51208130001032,143.01491300000635,143.01491300000635,143.01491300000635,143.01491300000635,143.01491300000635,143.01491300000635,143.01491300000635,left,0,1.3368258999980753,143.634217800005,143.634217800005,143.634217800005,143.634217800005,143.634217800005,143.634217800005,143.634217800005,143.634217800005,143.64580340000975,143.64580340000975,143.64580340000975,143.64580340000975,143.64580340000975,144.13501830000314,144.13501830000314,144.13501830000314,144.13501830000314,144.13501830000314,144.13501830000314,144.13501830000314,144.13501830000314,144.13501830000314,145.38831540000683,144.14453130000038,145.40344380000897,0.6300000000000003,145.40344380000897,,146.15658070000063,,143.01491300000635,,,,,,,[1.2525],2.1700000000000017,0.5,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,4,4,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.65623680000135,147.15601810000953,147.15601810000953,147.15601810000953,147.15601810000953,147.15601810000953,147.15601810000953,147.15601810000953,right,1,1.8851436999975704,148.6039335000096,148.6039335000096,148.6039335000096,148.6039335000096,148.6039335000096,148.6039335000096,148.6039335000096,148.6039335000096,148.6128222999978,148.6128222999978,148.6128222999978,148.6128222999978,148.6128222999978,149.10291600000346,149.10291600000346,149.10291600000346,149.10291600000346,149.10291600000346,149.10291600000346,149.10291600000346,149.10291600000346,149.10291600000346,150.14337920000253,149.11168760000146,150.15882579999743,1.460000000000001,150.15882579999743,,150.91018500000064,,,,,,,,,[[1.04]],2.690000000000002,0.6,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,5,5,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.40929880000476,151.9097829000093,151.9097829000093,151.9097829000093,151.9097829000093,151.9097829000093,151.9097829000093,151.9097829000093,right,0,3.1148298000043724,152.91210919999867,152.91210919999867,152.91210919999867,152.91210919999867,152.91210919999867,152.91210919999867,152.91210919999867,152.91210919999867,152.9326521000039,152.9326521000039,152.9326521000039,152.9326521000039,152.9326521000039,153.41231500000868,153.41231500000868,153.41231500000868,153.41231500000868,153.41231500000868,153.41231500000868,153.41231500000868,153.41231500000868,153.41231500000868,155.04561770000146,153.42376990000776,155.05887000000803,1.0200000000000007,155.05887000000803,,155.81158460000006,,,,,,,,,[1.255],1.670000000000001,0.5,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,6,6,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,156.3126365000062,156.81087080000725,156.81087080000725,156.81087080000725,156.81087080000725,156.81087080000725,156.81087080000725,156.81087080000725,left,0,2.909642200000235,158.86481040000217,158.86481040000217,158.86481040000217,158.86481040000217,158.86481040000217,158.86481040000217,158.86481040000217,158.86481040000217,158.87752989999717,158.87752989999717,158.87752989999717,158.87752989999717,158.87752989999717,159.36462980000942,159.36462980000942,159.36462980000942,159.36462980000942,159.36462980000942,159.36462980000942,159.36462980000942,159.36462980000942,159.36462980000942,159.78779689999647,159.37699289999728,159.81340340001043,2.0700000000000016,159.81340340001043,,160.56776250000985,,,,,,,,,[[0.43]],0.5,0.42857142857142855,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,7,7,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,161.0670073000074,161.56779110000934,161.56779110000934,161.56779110000934,161.56779110000934,161.56779110000934,161.56779110000934,161.56779110000934,right,1,2.808943199997884,164.54692649999924,164.54692649999924,164.54692649999924,164.54692649999924,164.54692649999924,164.54692649999924,164.54692649999924,164.54692649999924,164.56759540000348,164.56759540000348,164.56759540000348,164.56759540000348,164.56759540000348,165.04947369999718,165.04947369999718,165.04947369999718,165.04947369999718,165.04947369999718,165.04947369999718,165.04947369999718,165.04947369999718,165.04947369999718,165.04947369999718,165.0815367000032,165.0815367000032,3.0000000000000027,165.0815367000032,,165.83525380000356,,,,,,,,,0,0.8700000000000003,0.5,12007,001,2024-06-14_17h02.22.255,MFTM_A_new1021,2022.2.4,None,
