b_pra,ins_blocks,ins_blocks2,stim_word,stim_color,corrAns,cue_type,trial_type,task_type,rand,compatibility,switch,b_test,w_pic,w_pic2,trials_instr.thisRepN,trials_instr.thisTrialN,trials_instr.thisN,trials_instr.thisIndex,block_pra.thisRepN,block_pra.thisTrialN,block_pra.thisN,block_pra.thisIndex,trials_rep.thisRepN,trials_rep.thisTrialN,trials_rep.thisN,trials_rep.thisIndex,trials_pra.thisRepN,trials_pra.thisTrialN,trials_pra.thisN,trials_pra.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instr_image.started,instr_image.stopped,instr_key_resp.keys,instr_key_resp.rt,instr_key_resp.started,instr_key_resp.stopped,instr_pra_image.started,instr_pra_image.stopped,ip_key_resp.keys,ip_key_resp.rt,ip_key_resp.started,ip_key_resp.stopped,block_image.started,block_image.stopped,ib_key_resp.keys,ib_key_resp.rt,ib_key_resp.started,ib_key_resp.stopped,cd3.started,cd3.stopped,cd2.started,cd2.stopped,cd1.started,cd1.stopped,cd_text.started,cd_text.stopped,text_fix.started,text_fix.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,text_target.started,text_target.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sceen_black.started,sceen_black.stopped,text_fb.started,text_fb.stopped,text.started,text.stopped,key_bf.keys,key_bf.rt,key_bf.started,key_bf.stopped,instr_test_image.started,instr_test_image.stopped,instr_exp_key_resp.keys,instr_exp_key_resp.rt,instr_exp_key_resp.started,instr_exp_key_resp.stopped,text_rest.started,text_rest.stopped,key_resp_rest.keys,key_resp_rest.rt,key_resp_rest.started,key_resp_rest.stopped,text_3.started,text_3.stopped,participant,session,balance,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,11.307222299976274,None,right,2.5291545999934897,11.307222299976274,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12012,2,2,2024_Jun_18_1828,stroop_task_switching2_b,2021.2.3,59.995308359099404,
,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,13.877493700012565,None,right,43.705562499992084,13.877493700012565,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12012,2,2,2024_Jun_18_1828,stroop_task_switching2_b,2021.2.3,59.995308359099404,
,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,57.62687590002315,None,right,0.20838309999089688,57.62687590002315,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12012,2,2,2024_Jun_18_1828,stroop_task_switching2_b,2021.2.3,59.995308359099404,
,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,57.87726679997286,None,right,0.1718614000128582,57.87726679997286,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12012,2,2,2024_Jun_18_1828,stroop_task_switching2_b,2021.2.3,59.995308359099404,
,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,58.094409800018184,None,right,0.416466600028798,58.094409800018184,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12012,2,2,2024_Jun_18_1828,stroop_task_switching2_b,2021.2.3,59.995308359099404,
,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,58.54506490001222,None,right,0.4673062000074424,58.54506490001222,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12012,2,2,2024_Jun_18_1828,stroop_task_switching2_b,2021.2.3,59.995308359099404,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.045983400021214,None,space,1.1385517999879085,59.045983400021214,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12012,2,2,2024_Jun_18_1828,stroop_task_switching2_b,2021.2.3,59.995308359099404,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,red,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,60.23112359998049,None,space,6.884359500021674,60.23112359998049,None,68.19473859999562,69.19447589997435,69.19447589997435,70.19828720000805,70.19828720000805,None,67.20812109997496,68.21043819998158,71.16362910001772,71.36458439996932,71.34784080000827,71.64848269999493,71.64848269999493,None,72.14941489999183,None,k,1,0.8594418999855407,72.14941489999183,None,None,None,73.11715170001844,None,,,,,,,,,,,,,,,,,,,,,12012,2,2,2024_Jun_18_1828,stroop_task_switching2_b,2021.2.3,59.995308359099404,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,green,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.05194530001609,74.25359639996896,74.21877620002488,74.52099260000978,74.53734749997966,None,75.03719250002177,None,d,1,1.1002425999613479,75.03719250002177,None,None,None,76.1549467999721,None,,,,,,,,,,,,,,,,,,,,,12012,2,2,2024_Jun_18_1828,stroop_task_switching2_b,2021.2.3,59.995308359099404,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,yellow,f,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.15659660001984,77.35783880000236,77.34235230000922,77.65883739996934,77.64051389996894,None,78.14141679997556,None,f,1,0.6356341999489814,78.14141679997556,None,None,None,78.79231069999514,None,,,,,,,,,,,,,,,,,,,,,12012,2,2,2024_Jun_18_1828,stroop_task_switching2_b,2021.2.3,59.995308359099404,
