b_pra,ins_blocks,ins_blocks2,stim_word,stim_color,corrAns,cue_type,trial_type,task_type,rand,compatibility,switch,b_test,w_pic,w_pic2,trials_instr.thisRepN,trials_instr.thisTrialN,trials_instr.thisN,trials_instr.thisIndex,block_pra.thisRepN,block_pra.thisTrialN,block_pra.thisN,block_pra.thisIndex,trials_rep.thisRepN,trials_rep.thisTrialN,trials_rep.thisN,trials_rep.thisIndex,trials_pra.thisRepN,trials_pra.thisTrialN,trials_pra.thisN,trials_pra.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instr_image.started,instr_image.stopped,instr_key_resp.keys,instr_key_resp.rt,instr_key_resp.started,instr_key_resp.stopped,instr_pra_image.started,instr_pra_image.stopped,ip_key_resp.keys,ip_key_resp.rt,ip_key_resp.started,ip_key_resp.stopped,block_image.started,block_image.stopped,ib_key_resp.keys,ib_key_resp.rt,ib_key_resp.started,ib_key_resp.stopped,cd3.started,cd3.stopped,cd2.started,cd2.stopped,cd1.started,cd1.stopped,cd_text.started,cd_text.stopped,text_fix.started,text_fix.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,text_target.started,text_target.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sceen_black.started,sceen_black.stopped,text_fb.started,text_fb.stopped,text.started,text.stopped,key_bf.keys,key_bf.rt,key_bf.started,key_bf.stopped,instr_test_image.started,instr_test_image.stopped,instr_exp_key_resp.keys,instr_exp_key_resp.rt,instr_exp_key_resp.started,instr_exp_key_resp.stopped,text_rest.started,text_rest.stopped,key_resp_rest.keys,key_resp_rest.rt,key_resp_rest.started,key_resp_rest.stopped,text_3.started,text_3.stopped,participant,session,balance,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,13.921077199978754,None,right,16.6053619000013,13.921077199978754,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12002,1,2,2024_Jun_02_1821,stroop_task_switching2_b,2021.2.3,59.35059762618678,
,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,30.61242849996779,None,right,74.68490440002643,30.61242849996779,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12002,1,2,2024_Jun_02_1821,stroop_task_switching2_b,2021.2.3,59.35059762618678,
,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,105.39323940000031,None,right,3.1437837000121363,105.39323940000031,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12002,1,2,2024_Jun_02_1821,stroop_task_switching2_b,2021.2.3,59.35059762618678,
,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,108.63144109997666,None,right,1.4173928999807686,108.63144109997666,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12002,1,2,2024_Jun_02_1821,stroop_task_switching2_b,2021.2.3,59.35059762618678,
,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,110.13254959997721,None,right,2.628621000039857,110.13254959997721,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12002,1,2,2024_Jun_02_1821,stroop_task_switching2_b,2021.2.3,59.35059762618678,
,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,112.80274770001415,None,right,1.1264475000207312,112.80274770001415,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12002,1,2,2024_Jun_02_1821,stroop_task_switching2_b,2021.2.3,59.35059762618678,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.97353919997113,None,space,3.387367199989967,113.97353919997113,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12002,1,2,2024_Jun_02_1821,stroop_task_switching2_b,2021.2.3,59.35059762618678,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,red,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,117.4437850000104,None,space,3.496938400028739,117.4437850000104,None,122.05105299997376,123.05283830000553,123.05283830000553,124.05465399997775,124.05465399997775,None,121.08371470001293,122.08437409996986,125.0394304000074,125.23898640001426,125.22292359999847,125.52329619997181,125.52329619997181,None,125.97387839999283,None,k,1,1.339147699996829,125.97387839999283,None,None,None,127.44346019998193,None,,,,,,,,,,,,,,,,,,,,,12002,1,2,2024_Jun_02_1821,stroop_task_switching2_b,2021.2.3,59.35059762618678,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,green,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128.444179299986,128.64401360001648,128.62761460000183,128.92855830001645,128.92855830001645,None,129.42882999998983,None,d,1,0.5242360000265762,129.42882999998983,None,None,None,129.97898279997753,None,,,,,,,,,,,,,,,,,,,,,12002,1,2,2024_Jun_02_1821,stroop_task_switching2_b,2021.2.3,59.35059762618678,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,yellow,f,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,130.9816553000128,131.18117499997607,131.16485379997175,131.46571159997256,131.46571159997256,None,131.9664574000053,None,f,1,0.6350627000210807,131.9664574000053,None,None,None,132.61602730001323,None,,,,,,,,,,,,,,,,,,,,,12002,1,2,2024_Jun_02_1821,stroop_task_switching2_b,2021.2.3,59.35059762618678,
