b_pra,ins_blocks,ins_blocks2,stim_word,stim_color,corrAns,cue_type,trial_type,task_type,rand,compatibility,switch,b_test,w_pic,w_pic2,trials_instr.thisRepN,trials_instr.thisTrialN,trials_instr.thisN,trials_instr.thisIndex,block_pra.thisRepN,block_pra.thisTrialN,block_pra.thisN,block_pra.thisIndex,trials_rep.thisRepN,trials_rep.thisTrialN,trials_rep.thisN,trials_rep.thisIndex,trials_pra.thisRepN,trials_pra.thisTrialN,trials_pra.thisN,trials_pra.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instr_image.started,instr_image.stopped,instr_key_resp.keys,instr_key_resp.rt,instr_key_resp.started,instr_key_resp.stopped,instr_pra_image.started,instr_pra_image.stopped,ip_key_resp.keys,ip_key_resp.rt,ip_key_resp.started,ip_key_resp.stopped,block_image.started,block_image.stopped,ib_key_resp.keys,ib_key_resp.rt,ib_key_resp.started,ib_key_resp.stopped,cd3.started,cd3.stopped,cd2.started,cd2.stopped,cd1.started,cd1.stopped,cd_text.started,cd_text.stopped,text_fix.started,text_fix.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,text_target.started,text_target.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.started,key_resp.stopped,sceen_black.started,sceen_black.stopped,text_fb.started,text_fb.stopped,text.started,text.stopped,key_bf.keys,key_bf.rt,key_bf.started,key_bf.stopped,instr_test_image.started,instr_test_image.stopped,instr_exp_key_resp.keys,instr_exp_key_resp.rt,instr_exp_key_resp.started,instr_exp_key_resp.stopped,text_rest.started,text_rest.stopped,key_resp_rest.keys,key_resp_rest.rt,key_resp_rest.started,key_resp_rest.stopped,text_3.started,text_3.stopped,participant,session,balance,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,23.036167499958538,None,right,8.107078700035345,23.036167499958538,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,2,1,2024_Jun_02_1959,stroop_task_switching2,2021.2.3,59.90979979511829,
,,,,,,,,,,,,,,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,31.18067669996526,None,right,46.05970280000474,31.18067669996526,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,2,1,2024_Jun_02_1959,stroop_task_switching2,2021.2.3,59.90979979511829,
,,,,,,,,,,,,,,,2,0,2,0,,,,,,,,,,,,,,,,,,,,,77.28344989998732,None,right,1.1492583000217564,77.28344989998732,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,2,1,2024_Jun_02_1959,stroop_task_switching2,2021.2.3,59.90979979511829,
,,,,,,,,,,,,,,,3,0,3,0,,,,,,,,,,,,,,,,,,,,,78.46839819999877,None,right,0.37176290003117174,78.46839819999877,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,2,1,2024_Jun_02_1959,stroop_task_switching2,2021.2.3,59.90979979511829,
,,,,,,,,,,,,,,,4,0,4,0,,,,,,,,,,,,,,,,,,,,,78.88591379998252,None,right,0.2823261000448838,78.88591379998252,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,2,1,2024_Jun_02_1959,stroop_task_switching2,2021.2.3,59.90979979511829,
,,,,,,,,,,,,,,,5,0,5,0,,,,,,,,,,,,,,,,,,,,,79.20291299995733,None,right,2.1812547000008635,79.20291299995733,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,2,1,2024_Jun_02_1959,stroop_task_switching2,2021.2.3,59.90979979511829,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.42304199998034,None,space,1.6985456999973394,81.42304199998034,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,2,1,2024_Jun_02_1959,stroop_task_switching2,2021.2.3,59.90979979511829,
condition/block_color,instruction/instr_color,instruction/i8,XX,red,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,83.15976509999018,None,space,4.329394100001082,83.15976509999018,None,88.56791339995107,89.56872609996935,89.56872609996935,90.57133189996239,90.57133189996239,None,87.58374559995718,88.5848528999486,91.53826609998941,91.74047539994353,91.72184369998286,92.02287399995839,92.02287399995839,None,92.52304529998219,None,d,1,0.5661764999968,92.52304529998219,None,None,None,93.10718469996937,None,,,,,,,,,,,,,,,,,,,,,11016,2,1,2024_Jun_02_1959,stroop_task_switching2,2021.2.3,59.90979979511829,
condition/block_color,instruction/instr_color,instruction/i8,XX,green,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.110299699998,94.31055249995552,94.29320249997545,94.59383889997844,94.59383889997844,None,95.0943936999538,None,k,1,1.0583408999955282,95.0943936999538,None,None,None,96.17933649994666,None,,,,,,,,,,,,,,,,,,,,,11016,2,1,2024_Jun_02_1959,stroop_task_switching2,2021.2.3,59.90979979511829,
condition/block_color,instruction/instr_color,instruction/i8,XX,yellow,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.18016889999853,97.38115849997848,97.36370369995711,97.66579959995579,97.66579959995579,None,98.16591689997585,None,j,1,0.47493619995657355,98.16591689997585,None,None,None,98.6671164999716,None,,,,,,,,,,,,,,,,,,,,,11016,2,1,2024_Jun_02_1959,stroop_task_switching2,2021.2.3,59.90979979511829,
condition/block_color,instruction/instr_color,instruction/i8,XX,blue,f,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.66760069999145,99.86931199999526,99.85091569996439,100.15242759999819,100.15242759999819,None,100.65199089999078,None,f,1,0.4450677999993786,100.65199089999078,None,None,None,101.12037619994953,None,,,,,,,,,,,,,,,,,,,,,11016,2,1,2024_Jun_02_1959,stroop_task_switching2,2021.2.3,59.90979979511829,
condition/block_color,instruction/instr_color,instruction/i8,XX,green,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.12083339999663,102.32245829998283,102.30693379999138,102.62276419997215,102.60499829996843,None,103.10582379996777,None,k,1,0.7189436999615282,103.10582379996777,None,None,None,103.85768649994861,None,,,,,,,,,,,,,,,,,,,,,11016,2,1,2024_Jun_02_1959,stroop_task_switching2,2021.2.3,59.90979979511829,
condition/block_color,instruction/instr_color,instruction/i8,XX,yellow,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.85831279994454,105.05888399999822,105.04308229999151,105.34256939997431,105.34256939997431,None,105.84308889997192,None,j,1,0.5191602999693714,105.84308889997192,None,None,None,106.37736349995248,None,,,,,,,,,,,,,,,,,,,,,11016,2,1,2024_Jun_02_1959,stroop_task_switching2,2021.2.3,59.90979979511829,
condition/block_color,instruction/instr_color,instruction/i8,XX,blue,f,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.37910309998551,107.57931989995996,107.56339939997997,107.86346229998162,107.86346229998162,None,108.36354699998628,None,d,0,0.7179879000177607,108.36354699998628,None,None,None,109.0979881999665,None,,,,,,,,,,,,,,,,,,,,,11016,2,1,2024_Jun_02_1959,stroop_task_switching2,2021.2.3,59.90979979511829,
condition/block_color,instruction/instr_color,instruction/i8,XX,red,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.10022519994527,110.29995999997482,110.28395879996242,110.58479809999699,110.58479809999699,None,111.08522679994348,None,d,1,1.0041146000148728,111.08522679994348,None,None,None,112.11932569998316,None,,,,,,,,,,,,,,,,,,,,,11016,2,1,2024_Jun_02_1959,stroop_task_switching2,2021.2.3,59.90979979511829,
condition/block_color,instruction/instr_color,instruction/i8,XX,yellow,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.12171349994605,113.32149179995758,113.30446479999227,113.60490899998695,113.60490899998695,None,114.10585809999611,None,j,1,0.6712566000060178,114.10585809999611,None,None,None,114.80690049997065,None,,,,,,,,,,,,,,,,,,,,,11016,2,1,2024_Jun_02_1959,stroop_task_switching2,2021.2.3,59.90979979511829,
