b_pra,ins_blocks,ins_blocks2,stim_word,stim_color,corrAns,cue_type,trial_type,task_type,rand,compatibility,switch,b_test,w_pic,w_pic2,trials_instr.thisRepN,trials_instr.thisTrialN,trials_instr.thisN,trials_instr.thisIndex,block_pra.thisRepN,block_pra.thisTrialN,block_pra.thisN,block_pra.thisIndex,trials_rep.thisRepN,trials_rep.thisTrialN,trials_rep.thisN,trials_rep.thisIndex,trials_pra.thisRepN,trials_pra.thisTrialN,trials_pra.thisN,trials_pra.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,instr_image.started,instr_image.stopped,instr_key_resp.keys,instr_key_resp.rt,instr_key_resp.started,instr_key_resp.stopped,instr_pra_image.started,instr_pra_image.stopped,ip_key_resp.keys,ip_key_resp.rt,ip_key_resp.started,ip_key_resp.stopped,block_image.started,block_image.stopped,ib_key_resp.keys,ib_key_resp.rt,ib_key_resp.started,ib_key_resp.stopped,cd3.started,cd3.stopped,cd2.started,cd2.stopped,cd1.started,cd1.stopped,cd_text.started,cd_text.stopped,text_fix.started,text_fix.stopped,text_2.started,text_2.stopped,text_4.started,text_4.stopped,text_target.started,text_target.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,sceen_black.started,sceen_black.stopped,text_fb.started,text_fb.stopped,key_resp.rt,text.started,text.stopped,key_bf.keys,key_bf.rt,key_bf.started,key_bf.stopped,instr_test_image.started,instr_test_image.stopped,instr_exp_key_resp.keys,instr_exp_key_resp.rt,instr_exp_key_resp.started,instr_exp_key_resp.stopped,text_rest.started,text_rest.stopped,key_resp_rest.keys,key_resp_rest.rt,key_resp_rest.started,key_resp_rest.stopped,text_3.started,text_3.stopped,participant,session,balance,date,expName,psychopyVersion,frameRate,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,blue,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.28430559998378,88.48470749999979,88.4681279999786,88.76826009998331,88.76826009998331,None,89.26918239999213,None,j,1,89.26918239999213,None,None,None,90.25313219998498,None,0.9606534999911673,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,green,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.25475269998424,91.45603189998656,91.43820330000017,91.7396736999799,91.7396736999799,None,92.23941259999992,None,d,1,92.23941259999992,None,None,None,93.4747914999898,None,1.2147839000099339,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,yellow,f,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.4761888999783,94.677852599998,94.6597480000055,94.960811500001,94.960811500001,None,95.4619912999915,None,f,1,95.4619912999915,None,None,None,96.19544700000552,None,0.7120430000068154,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,blue,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.19712569998228,97.39749879998271,97.38117959999363,97.68205129998387,97.68205129998387,None,98.18255499997758,None,j,1,98.18255499997758,None,None,None,98.88287559998571,None,0.6715340999944601,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,red,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.88460379999015,100.08548899999005,100.06905659998301,100.36888039999758,100.36888039999758,None,100.86934129998554,None,k,1,100.86934129998554,None,None,None,101.28637669997988,None,0.4007495999976527,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,yellow,f,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102.28877869999269,102.48923629999626,102.47224879998248,102.77306690000114,102.77306690000114,None,103.27275929998723,None,f,1,103.27275929998723,None,None,None,104.34102299998631,None,1.0532552000076976,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,blue,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.34335999999894,105.5443682000041,105.52640350000001,105.82669349998469,105.82669349998469,None,106.32886019998114,None,j,1,106.32886019998114,None,None,None,107.0116538000002,None,0.653569600021001,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,red,k,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.01313639999717,108.21421760000521,108.197545300005,108.4984134999977,108.4984134999977,None,108.99896889997763,None,k,1,108.99896889997763,None,None,None,109.61575169998105,None,0.5913041000021622,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,green,d,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.6181033999892,110.81859849998727,110.80096110000159,111.10216599999694,111.10216599999694,None,111.60220289998688,None,d,1,111.60220289998688,None,None,None,112.38641479998478,None,0.7563485999999102,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
condition/block_color_b,instruction/instr_color,instruction/i8_b,XX,blue,j,diamond,color_single,颜色,,,,,,,,,,,0,0,0,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113.38794970000163,113.59007899998687,113.57145719998516,113.87298699998064,113.87298699998064,None,114.37292219998199,None,j,1,114.37292219998199,None,None,None,114.9572918000049,None,0.5535235999850556,,,,,,,,,,,,,,,,,,,,,11038,2,2,2024_Jun_18_1327,stroop_task_switching2_b,2021.2.3,59.95491390344069,
