arrwidth1,arrwidth2,arrwidth3,arrwidth4,arrwidth5,keyb,type,orientation,instruction_image,block_filename,block_type,arrow11,arrow22,arrow33,arrow44,arrow55,keyb_3,orientation3,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruction_example.started,instruction_example.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruction_task.started,instruction_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,A1.started,A1.stopped,A2.started,A2.stopped,A3.started,A3.stopped,A4.started,A4.stopped,A5.started,A5.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,fb.started,fb.stopped,instruction_block.started,instruction_block.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_8.started,text_8.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,text_5.started,text_5.stopped,A11_3.started,A11_3.stopped,A22_2.started,A22_2.stopped,A33_2.started,A33_2.stopped,A44_2.started,A44_2.stopped,A55_2.started,A55_2.stopped,M1_3.started,M1_3.stopped,M2_2.started,M2_2.stopped,M3_2.started,M3_2.stopped,M4_2.started,M4_2.stopped,M5_2.started,M5_2.stopped,M6_2.started,M6_2.stopped,M7_2.started,M7_2.stopped,M8_2.started,M8_2.stopped,key_resp_9.started,key_resp_9.stopped,fixation.started,fixation.stopped,ET,fb_3.started,fb_3.stopped,text_9.started,text_9.stopped,fb_4.started,fb_4.stopped,text_7.started,text_7.stopped,endtext.started,endtext.stopped,fixation_ITI,CCC,Acc,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.814358200062998,None,space,5.47084259998519,13.814358200062998,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11018,002,2024_Jan_05_1206,MFTM_A_new1021,2021.2.3,59.54652934580645,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.30549240007531,None,space,3.5073966999771073,19.30549240007531,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11018,002,2024_Jan_05_1206,MFTM_A_new1021,2021.2.3,59.54652934580645,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.843888200004585,None,space,1.8890536999097094,22.843888200004585,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11018,002,2024_Jan_05_1206,MFTM_A_new1021,2021.2.3,59.54652934580645,
0.6,0.6,0.6,-0.6,-0.6,right,3:2,R,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,24.781128800008446,None,24.781128800008446,None,24.781128800008446,None,24.781128800008446,None,24.781128800008446,None,24.781128800008446,None,right,1,1.712220299988985,24.781128800008446,None,26.533096400089562,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11018,002,2024_Jan_05_1206,MFTM_A_new1021,2021.2.3,59.54652934580645,
-0.6,-0.6,-0.6,0.6,0.6,left,3:2,L,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,27.283721400075592,None,27.283721400075592,None,27.283721400075592,None,27.283721400075592,None,27.283721400075592,None,27.283721400075592,None,left,1,1.289653200074099,27.283721400075592,None,28.602358200005256,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11018,002,2024_Jan_05_1206,MFTM_A_new1021,2021.2.3,59.54652934580645,
0.6,0.6,0.6,-0.6,-0.6,right,3:2,R,,,,,,,,,,,1,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,29.353632500045933,None,29.353632500045933,None,29.353632500045933,None,29.353632500045933,None,29.353632500045933,None,29.353632500045933,None,right,1,1.539571600034833,29.353632500045933,None,30.922478800057434,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11018,002,2024_Jan_05_1206,MFTM_A_new1021,2021.2.3,59.54652934580645,
-0.6,-0.6,-0.6,0.6,0.6,left,3:2,L,,,,,,,,,,,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,31.673494299990125,None,31.673494299990125,None,31.673494299990125,None,31.673494299990125,None,31.673494299990125,None,31.673494299990125,None,left,1,1.9396931000519544,31.673494299990125,None,33.6431344000157,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11018,002,2024_Jan_05_1206,MFTM_A_new1021,2021.2.3,59.54652934580645,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,0,0,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.59378570003901,None,space,2.563114900025539,34.59378570003901,None,37.266097699990496,None,right,1,2.922853199997917,37.69925790000707,None,37.69925790000707,40.703712000045925,37.69925790000707,40.703712000045925,37.69925790000707,40.703712000045925,37.69925790000707,40.703712000045925,37.69925790000707,40.703712000045925,40.686995600000955,41.18752800009679,40.686995600000955,41.18752800009679,40.686995600000955,41.18752800009679,40.686995600000955,41.18752800009679,40.686995600000955,41.18752800009679,40.686995600000955,41.18752800009679,40.686995600000955,41.18752800009679,40.686995600000955,41.18752800009679,37.69925790000707,None,41.18752800009679,41.18752800009679,3,41.20441760006361,None,41.955904800095595,None,,,,,,,,,,11018,002,2024_Jan_05_1206,MFTM_A_new1021,2021.2.3,59.54652934580645,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,0,0,0,0,1,1,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.456016100011766,None,left,1,1.5280111000174657,42.956990700098686,44.960580600076355,42.956990700098686,44.45915770006832,42.956990700098686,44.45915770006832,42.956990700098686,44.45915770006832,42.956990700098686,44.45915770006832,42.956990700098686,44.45915770006832,44.442566200043075,44.94400010001846,44.442566200043075,44.94400010001846,44.442566200043075,44.94400010001846,44.442566200043075,44.94400010001846,44.442566200043075,44.94400010001846,44.442566200043075,44.94400010001846,44.442566200043075,44.94400010001846,44.442566200043075,44.94400010001846,42.956990700098686,None,44.94400010001846,46.445508400094695,1.5,46.46199149999302,None,47.21413850004319,None,,,,,,,,,,11018,002,2024_Jan_05_1206,MFTM_A_new1021,2021.2.3,59.54652934580645,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,0,0,0,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.7150959999999,None,left,1,1.2705801000120118,48.2152161000995,49.51679780008271,48.2152161000995,49.01698090007994,48.2152161000995,49.01698090007994,48.2152161000995,49.01698090007994,48.2152161000995,49.01698090007994,48.2152161000995,49.01698090007994,48.999815199989825,49.50000480003655,48.999815199989825,49.50000480003655,48.999815199989825,49.50000480003655,48.999815199989825,49.50000480003655,48.999815199989825,49.50000480003655,48.999815199989825,49.50000480003655,48.999815199989825,49.50000480003655,48.999815199989825,49.50000480003655,48.2152161000995,None,49.50000480003655,51.70371920010075,0.8,51.720887200091965,None,52.47182740003336,None,,,,,,,,,,11018,002,2024_Jan_05_1206,MFTM_A_new1021,2021.2.3,59.54652934580645,
