arrwidth1,arrwidth2,arrwidth3,arrwidth4,arrwidth5,keyb,type,orientation,instruction_image,block_filename,block_type,arrow11,arrow22,arrow33,arrow44,arrow55,keyb_3,orientation3,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruction_example.started,instruction_example.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruction_task.started,instruction_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,A1.started,A1.stopped,A2.started,A2.stopped,A3.started,A3.stopped,A4.started,A4.stopped,A5.started,A5.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,fb.started,fb.stopped,instruction_block.started,instruction_block.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_8.started,text_8.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,text_5.started,text_5.stopped,A11_3.started,A11_3.stopped,A22_2.started,A22_2.stopped,A33_2.started,A33_2.stopped,A44_2.started,A44_2.stopped,A55_2.started,A55_2.stopped,M1_3.started,M1_3.stopped,M2_2.started,M2_2.stopped,M3_2.started,M3_2.stopped,M4_2.started,M4_2.stopped,M5_2.started,M5_2.stopped,M6_2.started,M6_2.stopped,M7_2.started,M7_2.stopped,M8_2.started,M8_2.stopped,key_resp_9.started,key_resp_9.stopped,fixation.started,fixation.stopped,ET,fb_3.started,fb_3.stopped,text_9.started,text_9.stopped,fb_4.started,fb_4.stopped,text_7.started,text_7.stopped,endtext.started,endtext.stopped,fixation_ITI,CCC,Acc,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,3,3,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.2152618,None,left,0,0.69269,60.7157652,61.4671104,60.7157652,60.9664349,60.7157652,60.9664349,60.7157652,60.9664349,60.7157652,60.9664349,60.7157652,60.9664349,60.9498973,61.4509953,60.9498973,61.4509953,60.9498973,61.4509953,60.9498973,61.4509953,60.9498973,61.4509953,60.9498973,61.4509953,60.9498973,61.4509953,60.9498973,61.4509953,60.7157652,None,61.4509953,64.2046244,3,64.2212919,None,64.9735538,None,,,,,,,,,,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65.4897115,66.4919551,66.4579045,66.4579045,66.4579045,None,,,,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.5790148,None,v,6.0693948,69.5790148,None,75.7549336,None,left,1,1.6679823,76.1889098,None,76.1889098,79.194171,76.1889098,79.194171,76.1889098,79.194171,76.1889098,79.194171,76.1889098,79.194171,79.1774184,79.6778506,79.1774184,79.6778506,79.1774184,79.6778506,79.1774184,79.6778506,79.1774184,79.6778506,79.1774184,79.6778506,79.1774184,79.6778506,79.1774184,79.6778506,76.1889098,None,79.6778506,79.6778506,3,79.6940194,None,80.4451994,None,,,,,,,0,6,1,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,1,1,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.9458739,None,right,1,1.1936172,81.4467098,82.1978728,81.4467098,81.6969159,81.4467098,81.6969159,81.4467098,81.6969159,81.4467098,81.6969159,81.4467098,81.6969159,81.680822,82.1819311,81.680822,82.1819311,81.680822,82.1819311,81.680822,82.1819311,81.680822,82.1819311,81.680822,82.1819311,81.680822,82.1819311,81.680822,82.1819311,81.4467098,None,82.1819311,83.0657937,0.25,83.0827921,None,83.8340393,None,,,,,,,[0.875],6,1,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,2,2,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.3348072,None,left,1,0.5174098,84.835263,85.5862235,84.835263,85.0852944,84.835263,85.0852944,84.835263,85.0852944,84.835263,85.0852944,84.835263,85.0852944,85.0687383,85.5694259,85.0687383,85.5694259,85.0687383,85.5694259,85.0687383,85.5694259,85.0687383,85.5694259,85.0687383,85.5694259,85.0687383,85.5694259,85.0687383,85.5694259,84.835263,None,85.5694259,86.9049275,0.25,86.9213748,None,87.6724153,None,,,,,,,[1.33333333],6,1,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,3,3,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.1734526,None,right,0,0.5347979,88.6740193,89.425548,88.6740193,88.9250132,88.6740193,88.9250132,88.6740193,88.9250132,88.6740193,88.9250132,88.6740193,88.9250132,88.9078008,89.4085902,88.9078008,89.4085902,88.9078008,89.4085902,88.9078008,89.4085902,88.9078008,89.4085902,88.9078008,89.4085902,88.9078008,89.4085902,88.9078008,89.4085902,88.6740193,None,89.4085902,90.9774095,0.25,90.9939165,None,91.7453983,None,,,,,,,[1.5625],4.03,0.75,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,4,4,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.2459822,None,right,1,0.5092804,92.747155,93.648118,92.747155,93.1476131,92.747155,93.1476131,92.747155,93.1476131,92.747155,93.1476131,92.747155,93.1476131,93.131129,93.6323683,93.131129,93.6323683,93.131129,93.6323683,93.131129,93.6323683,93.131129,93.6323683,93.131129,93.6323683,93.131129,93.6323683,93.131129,93.6323683,92.747155,None,93.6323683,None,0.4,95.3173099,None,96.0684314,None,,,,,,,[1.67],4.7,0.8,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,5,5,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96.5695944,None,left,0,0.418589,97.0697903,97.8220166,97.0697903,97.320802,97.0697903,97.320802,97.0697903,97.320802,97.0697903,97.320802,97.0697903,97.320802,97.304197,97.8044312,97.304197,97.8044312,97.304197,97.8044312,97.304197,97.8044312,97.304197,97.8044312,97.304197,97.8044312,97.304197,97.8044312,97.304197,97.8044312,97.0697903,None,97.8044312,99.5738232,0.25,99.5902587,None,100.3413604,None,,,,,,,[1.76666667],3.56,0.666666667,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.8428294,None,right,0,0.4408553,101.3435036,102.4117501,101.3435036,101.9107921,101.3435036,101.9107921,101.3435036,101.9107921,101.3435036,101.9107921,101.3435036,101.9107921,101.8936641,102.3947332,101.8936641,102.3947332,101.8936641,102.3947332,101.8936641,102.3947332,101.8936641,102.3947332,101.8936641,102.3947332,101.8936641,102.3947332,101.8936641,102.3947332,101.3435036,None,102.378512,104.180316,0.56,104.1968257,None,104.9482068,None,,,,,,,[1.79142857],2.23,0.571428571,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,7,7,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,105.4496975,None,left,0,0.5070227,105.9497178,107.8522699,105.9497178,107.3526723,105.9497178,107.3526723,105.9497178,107.3526723,105.9497178,107.3526723,105.9497178,107.3526723,107.3350602,107.8357478,107.3350602,107.8357478,107.3350602,107.8357478,107.3350602,107.8357478,107.3350602,107.8357478,107.3350602,107.8357478,107.3350602,107.8357478,107.3350602,107.8357478,105.9497178,None,107.8357478,108.9381935,1.4,108.9539324,None,109.7050323,None,,,,,,,[[1.1]],0.5,0.5,11024,2,2024_Jan_07_1540,MFTM_A_new1021,2021.2.3,60.10117432
