arrwidth1,arrwidth2,arrwidth3,arrwidth4,arrwidth5,keyb,type,orientation,instruction_image,block_filename,block_type,arrow11,arrow22,arrow33,arrow44,arrow55,keyb_3,orientation3,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruction_example.started,instruction_example.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruction_task.started,instruction_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,A1.started,A1.stopped,A2.started,A2.stopped,A3.started,A3.stopped,A4.started,A4.stopped,A5.started,A5.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,fb.started,fb.stopped,instruction_block.started,instruction_block.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_8.started,text_8.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,text_5.started,text_5.stopped,A11_3.started,A11_3.stopped,A22_2.started,A22_2.stopped,A33_2.started,A33_2.stopped,A44_2.started,A44_2.stopped,A55_2.started,A55_2.stopped,M1_3.started,M1_3.stopped,M2_2.started,M2_2.stopped,M3_2.started,M3_2.stopped,M4_2.started,M4_2.stopped,M5_2.started,M5_2.stopped,M6_2.started,M6_2.stopped,M7_2.started,M7_2.stopped,M8_2.started,M8_2.stopped,key_resp_9.started,key_resp_9.stopped,fixation.started,fixation.stopped,ET,fb_3.started,fb_3.stopped,text_9.started,text_9.stopped,fb_4.started,fb_4.stopped,text_7.started,text_7.stopped,endtext.started,endtext.stopped,fixation_ITI,CCC,Acc,participant,session,date,expName,psychopyVersion,frameRate
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,0,0,0,0,3,3,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.9338342,None,right,0,1.2246673,88.4340214,89.185799,88.4340214,88.6851368,88.4340214,88.6851368,88.4340214,88.6851368,88.4340214,88.6851368,88.4340214,88.6851368,88.6675183,89.1687858,88.6675183,89.1687858,88.6675183,89.1687858,88.6675183,89.1687858,88.6675183,89.1687858,88.6675183,89.1687858,88.6675183,89.1687858,88.6675183,89.1687858,88.4340214,None,89.1687858,91.9224493,3,91.9387604,None,92.6900547,None,,,,,,,,,,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,93.2089623,94.2109062,94.1765741,94.1765741,94.1765741,None,,,,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,0,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.3637252,None,right,1.6392096,97.3637252,None,99.04933,None,None,0,0,99.550544,None,99.550544,102.5555941,99.550544,102.5555941,99.550544,102.5555941,99.550544,102.5555941,99.550544,102.5555941,102.538327,103.0389954,102.538327,103.0389954,102.538327,103.0389954,102.538327,103.0389954,102.538327,103.0389954,102.538327,103.0389954,102.538327,103.0389954,102.538327,103.0389954,99.550544,None,103.0222509,103.0222509,3,103.055447,None,103.8071681,None,,,,,,,0,0.5,0,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,1,1,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.3076427,None,right,1,2.226629,104.8084023,None,104.8084023,107.8129018,104.8084023,107.8129018,104.8084023,107.8129018,104.8084023,107.8129018,104.8084023,107.8129018,107.7961802,108.2970416,107.7961802,108.2970416,107.7961802,108.2970416,107.7961802,108.2970416,107.7961802,108.2970416,107.7961802,108.2970416,107.7961802,108.2970416,107.7961802,108.2970416,104.8084023,None,108.2970416,108.2970416,3,108.3138159,None,109.0656973,None,,,,,,,0,0.5,0.5,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,2,2,93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.5664203,None,left,1,2.2170465,110.066259,None,110.066259,113.0707966,110.066259,113.0707966,110.066259,113.0707966,110.066259,113.0707966,110.066259,113.0707966,113.054279,113.5549043,113.054279,113.5549043,113.054279,113.5549043,113.054279,113.5549043,113.054279,113.5549043,113.054279,113.5549043,113.054279,113.5549043,113.054279,113.5549043,110.066259,None,113.5549043,113.5549043,3,113.5712642,None,114.3232916,None,,,,,,,0,0.5,0.666666667,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,3,3,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114.8239699,None,right,1,2.7590626,115.3241312,None,115.3241312,118.3287186,115.3241312,118.3287186,115.3241312,118.3287186,115.3241312,118.3287186,115.3241312,118.3287186,118.3120537,118.812676,118.3120537,118.812676,118.3120537,118.812676,118.3120537,118.812676,118.3120537,118.812676,118.3120537,118.812676,118.3120537,118.812676,118.3120537,118.812676,115.3241312,None,118.812676,118.812676,3,118.8292827,None,119.5804981,None,,,,,,,0,1.13,0.75,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,4,4,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120.0817382,None,right,1,1.7416196,120.5819934,None,120.5819934,123.5868316,120.5819934,123.5868316,120.5819934,123.5868316,120.5819934,123.5868316,120.5819934,123.5868316,123.5698764,124.0715669,123.5698764,124.0715669,123.5698764,124.0715669,123.5698764,124.0715669,123.5698764,124.0715669,123.5698764,124.0715669,123.5698764,124.0715669,123.5698764,124.0715669,120.5819934,None,124.0715669,124.0715669,3,124.0880634,None,124.8391161,None,,,,,,,0,1.54,0.8,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,5,5,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.3391676,None,left,1,2.3636261,125.8401123,None,125.8401123,128.110879,125.8401123,128.110879,125.8401123,128.110879,125.8401123,128.110879,125.8401123,128.110879,128.0771522,128.5781785,128.0771522,128.5781785,128.0771522,128.5781785,128.0771522,128.5781785,128.0771522,128.5781785,128.0771522,128.5781785,128.0771522,128.5781785,128.0771522,128.5781785,125.8401123,None,128.5781785,128.5781785,2.26,128.6111417,None,129.3628276,None,,,,,,,0,1.81,0.833333333,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,-0.6,-0.6,-0.6,0.6,0.6,left,L,,,,,0,1,1,1,0,6,6,43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.8633743,None,left,1,1.9687253,130.3636426,None,130.3636426,132.2501844,130.3636426,132.2501844,130.3636426,132.2501844,130.3636426,132.2501844,130.3636426,132.2501844,132.234067,132.7338522,132.234067,132.7338522,132.234067,132.7338522,132.234067,132.7338522,132.234067,132.7338522,132.234067,132.7338522,132.234067,132.7338522,132.234067,132.7338522,130.3636426,None,132.7338522,132.7338522,1.88,132.7504345,None,133.5022246,None,,,,,,,0,2.02,0.857142857,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
,,,,,,,,stim/Instruction_adaptive.png,conditions/adaptive.xlsx,test,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,1,1,1,0,7,7,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134.0031256,None,right,1,1.5558882,134.5039603,None,134.5039603,136.1389966,134.5039603,136.1389966,134.5039603,136.1389966,134.5039603,136.1389966,134.5039603,136.1389966,136.1055573,136.6070768,136.1055573,136.6070768,136.1055573,136.6070768,136.1055573,136.6070768,136.1055573,136.6070768,136.1055573,136.6070768,136.1055573,136.6070768,136.1055573,136.6070768,134.5039603,None,136.6070768,136.6070768,1.62,136.6235369,None,137.374247,None,,,,,,,0,2.2,0.875,11035,2,2024_Mar_11_1426,MFTM_A_new1021,2021.2.3,60.04455309
