arrwidth1,arrwidth2,arrwidth3,arrwidth4,arrwidth5,keyb,type,orientation,instruction_image,block_filename,block_type,arrow11,arrow22,arrow33,arrow44,arrow55,keyb_3,orientation3,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,welcome.started,welcome.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,instruction_example.started,instruction_example.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,instruction_task.started,instruction_task.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,text_2.started,text_2.stopped,A1.started,A1.stopped,A2.started,A2.stopped,A3.started,A3.stopped,A4.started,A4.stopped,A5.started,A5.stopped,key_resp_4.keys,key_resp_4.corr,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,fb.started,fb.stopped,instruction_block.started,instruction_block.stopped,key_resp_8.keys,key_resp_8.rt,key_resp_8.started,key_resp_8.stopped,text_8.started,text_8.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,text_5.started,text_5.stopped,A11_3.started,A11_3.stopped,A22_2.started,A22_2.stopped,A33_2.started,A33_2.stopped,A44_2.started,A44_2.stopped,A55_2.started,A55_2.stopped,M1_3.started,M1_3.stopped,M2_2.started,M2_2.stopped,M3_2.started,M3_2.stopped,M4_2.started,M4_2.stopped,M5_2.started,M5_2.stopped,M6_2.started,M6_2.stopped,M7_2.started,M7_2.stopped,M8_2.started,M8_2.stopped,key_resp_9.started,key_resp_9.stopped,fixation.started,fixation.stopped,ET,fb_3.started,fb_3.stopped,text_9.started,text_9.stopped,fb_4.started,fb_4.stopped,text_7.started,text_7.stopped,endtext.started,endtext.stopped,fixation_ITI,CCC,Acc,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.41325430001598,None,space,2.405057799885981,16.41325430001598,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021,002,2024_Jan_05_1526,MFTM_A_new1021,2021.2.3,60.48062742030141,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.83368280006107,None,right,5.952632899978198,18.83368280006107,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021,002,2024_Jan_05_1526,MFTM_A_new1021,2021.2.3,60.48062742030141,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.809926499961875,None,right,2.888551600044593,24.809926499961875,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021,002,2024_Jan_05_1526,MFTM_A_new1021,2021.2.3,60.48062742030141,
0.6,0.6,0.6,-0.6,-0.6,right,3:2,R,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,27.74813650001306,None,27.74813650001306,None,27.74813650001306,None,27.74813650001306,None,27.74813650001306,None,27.74813650001306,None,right,1,3.1183402000460774,27.74813650001306,None,30.901862900005654,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021,002,2024_Jan_05_1526,MFTM_A_new1021,2021.2.3,60.48062742030141,
-0.6,-0.6,-0.6,0.6,0.6,left,3:2,L,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,31.653258400037885,None,31.653258400037885,None,31.653258400037885,None,31.653258400037885,None,31.653258400037885,None,31.653258400037885,None,left,1,1.5491384000051767,31.653258400037885,None,33.22181220003404,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021,002,2024_Jan_05_1526,MFTM_A_new1021,2021.2.3,60.48062742030141,
-0.6,-0.6,-0.6,0.6,0.6,left,3:2,L,,,,,,,,,,,1,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,33.973543300060555,None,33.973543300060555,None,33.973543300060555,None,33.973543300060555,None,33.973543300060555,None,33.973543300060555,None,right,0,1.1012672000797465,33.973543300060555,None,35.09096860000864,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021,002,2024_Jan_05_1526,MFTM_A_new1021,2021.2.3,60.48062742030141,
0.6,0.6,0.6,-0.6,-0.6,right,3:2,R,,,,,,,,,,,1,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,35.84235379996244,None,35.84235379996244,None,35.84235379996244,None,35.84235379996244,None,35.84235379996244,None,35.84235379996244,None,right,1,5.743907599942759,35.84235379996244,None,41.60080170002766,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021,002,2024_Jan_05_1526,MFTM_A_new1021,2021.2.3,60.48062742030141,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,0,0,68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.5347295999527,None,space,42.131654700031504,42.5347295999527,None,84.76562009996269,None,right,1,3.0671952000120655,85.19966519996524,None,85.19966519996524,88.20393459999468,85.19966519996524,88.20393459999468,85.19966519996524,88.20393459999468,85.19966519996524,88.20393459999468,85.19966519996524,88.20393459999468,88.18703170004301,88.68748530000448,88.18703170004301,88.68748530000448,88.18703170004301,88.68748530000448,88.18703170004301,88.68748530000448,88.18703170004301,88.68748530000448,88.18703170004301,88.68748530000448,88.18703170004301,88.68748530000448,88.18703170004301,88.68748530000448,85.19966519996524,None,88.68748530000448,88.68748530000448,3,88.70409530005418,None,89.45514470001217,None,,,,,,,,,,11021,002,2024_Jan_05_1526,MFTM_A_new1021,2021.2.3,60.48062742030141,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,1,1,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.95674809999764,None,right,1,2.3217132999561727,90.45664520002902,92.46036200004164,90.45664520002902,91.9602555000456,90.45664520002902,91.9602555000456,90.45664520002902,91.9602555000456,90.45664520002902,91.9602555000456,90.45664520002902,91.9602555000456,91.94249300006777,92.44319580006413,91.94249300006777,92.44319580006413,91.94249300006777,92.44319580006413,91.94249300006777,92.44319580006413,91.94249300006777,92.44319580006413,91.94249300006777,92.44319580006413,91.94249300006777,92.44319580006413,91.94249300006777,92.44319580006413,90.45664520002902,None,92.44319580006413,93.94513410003856,1.5,93.96182730002329,None,94.71272439998575,None,,,,,,,,,,11021,002,2024_Jan_05_1526,MFTM_A_new1021,2021.2.3,60.48062742030141,
,,,,,,,,stim/Instruction_mask.png,conditions/adaptive.xlsx,practice,0.6,0.6,0.6,-0.6,-0.6,right,R,,,,,0,0,0,0,0,2,2,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.21412180003244,None,left,0,1.9599927000235766,95.71431539999321,97.01698710001074,95.71431539999321,96.51629149995279,95.71431539999321,96.51629149995279,95.71431539999321,96.51629149995279,95.71431539999321,96.51629149995279,95.71431539999321,96.51629149995279,96.49884909996763,97.00092669995502,96.49884909996763,97.00092669995502,96.49884909996763,97.00092669995502,96.49884909996763,97.00092669995502,96.49884909996763,97.00092669995502,96.49884909996763,97.00092669995502,96.49884909996763,97.00092669995502,96.49884909996763,97.00092669995502,95.71431539999321,None,97.00092669995502,99.20293170004152,0.8,99.21962560003158,None,99.97103969997261,None,,,,,,,,,,11021,002,2024_Jan_05_1526,MFTM_A_new1021,2021.2.3,60.48062742030141,
