backseq,backinstr,backfile,instruction,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.21248350001406,None,11.18086319998838,None,space,11.521342200052459,11.18086319998838,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11005,001,2024_Jan_01_0936,nback,2021.2.3,59.820240174438375,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,22.78151300002355,None,space,63.25731840002118,22.78151300002355,None,86.20908900001086,90.71585779997986,90.68176230002427,None,91.08321730000898,92.08476679999148,91.08321730000898,92.08476679999148,91.08321730000898,92.08476679999148,91.08321730000898,92.08476679999148,up,1,1.1232107999967411,91.08321730000898,None,91.08321730000898,None,91.08321730000898,91.5832989999908,91.08321730000898,91.5832989999908,91.08321730000898,91.5832989999908,91.08321730000898,91.5832989999908,91.08321730000898,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11005,001,2024_Jan_01_0936,nback,2021.2.3,59.820240174438375,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,92.56904799997574,93.57003860000987,92.56904799997574,93.57003860000987,92.56904799997574,93.57003860000987,92.56904799997574,93.57003860000987,left,1,0.469014199974481,92.56904799997574,None,92.56904799997574,None,92.56904799997574,93.06932220002636,92.56904799997574,93.06932220002636,92.56904799997574,93.06932220002636,92.56904799997574,93.06932220002636,92.56904799997574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11005,001,2024_Jan_01_0936,nback,2021.2.3,59.820240174438375,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,94.07024620001903,95.07262360001914,94.07024620001903,95.07262360001914,94.07024620001903,95.07262360001914,94.07024620001903,95.07262360001914,right,1,0.30396690004272386,94.07024620001903,None,94.07024620001903,None,94.07024620001903,94.5716420999961,94.07024620001903,94.5716420999961,94.07024620001903,94.5716420999961,94.07024620001903,94.5716420999961,94.07024620001903,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11005,001,2024_Jan_01_0936,nback,2021.2.3,59.820240174438375,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,95.62228870001854,96.6251022000215,95.62228870001854,96.6251022000215,95.62228870001854,96.6251022000215,95.62228870001854,96.6251022000215,down,1,0.2878467999980785,95.62228870001854,None,95.62228870001854,None,95.62228870001854,96.12404999998398,95.62228870001854,96.12404999998398,95.62228870001854,96.12404999998398,95.62228870001854,96.12404999998398,95.62228870001854,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11005,001,2024_Jan_01_0936,nback,2021.2.3,59.820240174438375,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,97.07473110000137,98.0761203999864,97.07473110000137,98.0761203999864,97.07473110000137,98.0761203999864,97.07473110000137,98.0761203999864,left,1,0.3155430000042543,97.07473110000137,None,97.07473110000137,None,97.07473110000137,97.57570759998634,97.07473110000137,97.57570759998634,97.07473110000137,97.57570759998634,97.07473110000137,97.57570759998634,97.07473110000137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11005,001,2024_Jan_01_0936,nback,2021.2.3,59.820240174438375,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,98.57701499998802,99.57927470002323,98.57701499998802,99.57927470002323,98.57701499998802,99.57927470002323,98.57701499998802,99.57927470002323,up,1,0.34133189998101443,98.57701499998802,None,98.57701499998802,None,98.57701499998802,99.07845869997982,98.57701499998802,99.07845869997982,98.57701499998802,99.07845869997982,98.57701499998802,99.07845869997982,98.57701499998802,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11005,001,2024_Jan_01_0936,nback,2021.2.3,59.820240174438375,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,100.07928160001757,101.08140500000445,100.07928160001757,101.08140500000445,100.07928160001757,101.08140500000445,100.07928160001757,101.08140500000445,down,1,0.33535219996701926,100.07928160001757,None,100.07928160001757,None,100.07928160001757,100.58059720002348,100.07928160001757,100.58059720002348,100.07928160001757,100.58059720002348,100.07928160001757,100.58059720002348,100.07928160001757,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11005,001,2024_Jan_01_0936,nback,2021.2.3,59.820240174438375,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,101.56461140001193,102.5664686000091,101.56461140001193,102.5664686000091,101.56461140001193,102.5664686000091,101.56461140001193,102.5664686000091,right,1,0.3218376000295393,101.56461140001193,None,101.56461140001193,None,101.56461140001193,102.06617359997472,101.56461140001193,102.06617359997472,101.56461140001193,102.06617359997472,101.56461140001193,102.06617359997472,101.56461140001193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11005,001,2024_Jan_01_0936,nback,2021.2.3,59.820240174438375,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,103.06755769997835,104.06935010000598,103.06755769997835,104.06935010000598,103.06755769997835,104.06935010000598,103.06755769997835,104.06935010000598,right,1,0.3552203999715857,103.06755769997835,None,103.06755769997835,None,103.06755769997835,103.56747210002504,103.06755769997835,103.56747210002504,103.06755769997835,103.56747210002504,103.06755769997835,103.56747210002504,103.06755769997835,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11005,001,2024_Jan_01_0936,nback,2021.2.3,59.820240174438375,
