backseq,backinstr,backfile,instruction,size_in,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,key_resp_5.rt,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.723498999956064,None,11.691921299905516,None,space,1.9719121999805793,11.691921299905516,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021,001,2024_Jan_05_1139,nback,2021.2.3,59.95408717337748,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,13.72840779996477,None,space,100.9916482999688,13.72840779996477,None,114.8940350000048,119.40148549992591,119.35199419991113,None,119.76978549989872,120.7704064999707,119.76978549989872,120.7704064999707,119.76978549989872,120.7704064999707,119.76978549989872,120.7704064999707,up,1,0.47034030000213534,119.76978549989872,None,119.76978549989872,None,119.76978549989872,120.27022889989894,119.76978549989872,120.27022889989894,119.76978549989872,120.27022889989894,119.76978549989872,120.27022889989894,119.76978549989872,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021,001,2024_Jan_05_1139,nback,2021.2.3,59.95408717337748,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,121.25376019999385,122.25591209996492,121.25376019999385,122.25591209996492,121.25376019999385,122.25591209996492,121.25376019999385,122.25591209996492,left,1,0.4583666999824345,121.25376019999385,None,121.25376019999385,None,121.25376019999385,121.75550480000675,121.25376019999385,121.75550480000675,121.25376019999385,121.75550480000675,121.25376019999385,121.75550480000675,121.25376019999385,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021,001,2024_Jan_05_1139,nback,2021.2.3,59.95408717337748,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,122.75646039994899,123.75895149994176,122.75646039994899,123.75895149994176,122.75646039994899,123.75895149994176,122.75646039994899,123.75895149994176,right,1,0.5483535000821576,122.75646039994899,None,122.75646039994899,None,122.75646039994899,123.257272799965,122.75646039994899,123.257272799965,122.75646039994899,123.257272799965,122.75646039994899,123.257272799965,122.75646039994899,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021,001,2024_Jan_05_1139,nback,2021.2.3,59.95408717337748,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,124.25873080000747,125.26111709990073,124.25873080000747,125.26111709990073,124.25873080000747,125.26111709990073,124.25873080000747,125.26111709990073,down,1,0.48539940000046045,124.25873080000747,None,124.25873080000747,None,124.25873080000747,124.75947019993328,124.25873080000747,124.75947019993328,124.25873080000747,124.75947019993328,124.25873080000747,124.75947019993328,124.25873080000747,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021,001,2024_Jan_05_1139,nback,2021.2.3,59.95408717337748,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,125.76205509994179,126.76269919995684,125.76205509994179,126.76269919995684,125.76205509994179,126.76269919995684,125.76205509994179,126.76269919995684,left,1,0.4862128000240773,125.76205509994179,None,125.76205509994179,None,125.76205509994179,126.26195229997393,125.76205509994179,126.26195229997393,125.76205509994179,126.26195229997393,125.76205509994179,126.26195229997393,125.76205509994179,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021,001,2024_Jan_05_1139,nback,2021.2.3,59.95408717337748,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,127.26277309993748,128.2648042999208,127.26277309993748,128.2648042999208,127.26277309993748,128.2648042999208,127.26277309993748,128.2648042999208,up,1,0.2812841000268236,127.26277309993748,None,127.26277309993748,None,127.26277309993748,127.76475629990455,127.26277309993748,127.76475629990455,127.26277309993748,127.76475629990455,127.26277309993748,127.76475629990455,127.26277309993748,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021,001,2024_Jan_05_1139,nback,2021.2.3,59.95408717337748,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,128.76536259998102,129.76724919991102,128.76536259998102,129.76724919991102,128.76536259998102,129.76724919991102,128.76536259998102,129.76724919991102,down,1,0.45869750005658716,128.76536259998102,None,128.76536259998102,None,128.76536259998102,129.26669159997255,128.76536259998102,129.26669159997255,128.76536259998102,129.26669159997255,128.76536259998102,129.26669159997255,128.76536259998102,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021,001,2024_Jan_05_1139,nback,2021.2.3,59.95408717337748,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,130.25081919995137,131.25288239994552,130.25081919995137,131.25288239994552,130.25081919995137,131.25288239994552,130.25081919995137,131.25288239994552,right,1,0.4217371999984607,130.25081919995137,None,130.25081919995137,None,130.25081919995137,130.75162140000612,130.25081919995137,130.75162140000612,130.25081919995137,130.75162140000612,130.25081919995137,130.75162140000612,130.25081919995137,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021,001,2024_Jan_05_1139,nback,2021.2.3,59.95408717337748,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,131.7533364999108,132.75549499993213,131.7533364999108,132.75549499993213,131.7533364999108,132.75549499993213,131.7533364999108,132.75549499993213,right,1,0.4632225000532344,131.7533364999108,None,131.7533364999108,None,131.7533364999108,132.2538101999089,131.7533364999108,132.2538101999089,131.7533364999108,132.2538101999089,131.7533364999108,132.2538101999089,131.7533364999108,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11021,001,2024_Jan_05_1139,nback,2021.2.3,59.95408717337748,
