backseq,backinstr,backfile,instruction,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,key_resp_5.rt,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,62.47484319999785,63.47699809999904,62.47484319999785,63.47699809999904,62.47484319999785,63.47699809999904,62.47484319999785,63.47699809999904,down,1,0.7465411000011954,62.47484319999785,None,62.47484319999785,None,62.47484319999785,62.97620910000114,62.47484319999785,62.97620910000114,62.47484319999785,62.97620910000114,62.47484319999785,62.97620910000114,62.47484319999785,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,63.976956899998186,64.97853809999651,63.976956899998186,64.97853809999651,63.976956899998186,64.97853809999651,63.976956899998186,64.97853809999651,up,1,0.5006981000042288,63.976956899998186,None,63.976956899998186,None,63.976956899998186,64.47829320000164,63.976956899998186,64.47829320000164,63.976956899998186,64.47829320000164,63.976956899998186,64.47829320000164,63.976956899998186,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,65.48042609999538,66.48090149999916,65.48042609999538,66.48090149999916,65.48042609999538,66.48090149999916,65.48042609999538,66.48090149999916,left,1,0.3086540999938734,65.48042609999538,None,65.48042609999538,None,65.48042609999538,65.97998619999998,65.48042609999538,65.97998619999998,65.48042609999538,65.97998619999998,65.48042609999538,65.97998619999998,65.48042609999538,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,66.98187550000148,67.98366949999763,66.98187550000148,67.98366949999763,66.98187550000148,67.98366949999763,66.98187550000148,67.98366949999763,down,1,0.6476783000034629,66.98187550000148,None,66.98187550000148,None,66.98187550000148,67.48322370000096,66.98187550000148,67.48322370000096,66.98187550000148,67.48322370000096,66.98187550000148,67.48322370000096,66.98187550000148,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,68.48372199999721,69.4868720999948,68.48372199999721,69.4868720999948,68.48372199999721,69.4868720999948,68.48372199999721,69.4868720999948,right,1,0.32931989999633515,68.48372199999721,None,68.48372199999721,None,68.48372199999721,68.98440419999679,68.48372199999721,68.98440419999679,68.48372199999721,68.98440419999679,68.48372199999721,68.98440419999679,68.48372199999721,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,69.96996460000082,70.97170059999917,69.96996460000082,70.97170059999917,69.96996460000082,70.97170059999917,69.96996460000082,70.97170059999917,up,1,0.2913660000049276,69.96996460000082,None,69.96996460000082,None,69.96996460000082,70.46994799999811,69.96996460000082,70.46994799999811,69.96996460000082,70.46994799999811,69.96996460000082,70.46994799999811,69.96996460000082,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,71.47143040000083,72.47385070000018,71.47143040000083,72.47385070000018,71.47143040000083,72.47385070000018,71.47143040000083,72.47385070000018,left,1,0.2936198000024888,71.47143040000083,None,71.47143040000083,None,71.47143040000083,71.97252450000087,71.47143040000083,71.97252450000087,71.47143040000083,71.97252450000087,71.47143040000083,71.97252450000087,71.47143040000083,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,72.97361000000092,73.97521089999645,72.97361000000092,73.97521089999645,72.97361000000092,73.97521089999645,72.97361000000092,73.97521089999645,right,1,0.37527169999520993,72.97361000000092,None,72.97361000000092,None,72.97361000000092,73.47523830000137,72.97361000000092,73.47523830000137,72.97361000000092,73.47523830000137,72.97361000000092,73.47523830000137,72.97361000000092,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,74.47592710000026,75.47817639999994,74.47592710000026,75.47817639999994,74.47592710000026,75.47817639999994,74.47592710000026,75.47817639999994,up,1,0.3051668000043719,74.47592710000026,None,74.47592710000026,None,74.47592710000026,74.97741400000086,74.47592710000026,74.97741400000086,74.47592710000026,74.97741400000086,74.47592710000026,74.97741400000086,74.47592710000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,75.97826039999927,76.97972889999801,75.97826039999927,76.97972889999801,75.97826039999927,76.97972889999801,75.97826039999927,76.97972889999801,down,1,0.8990305000043008,75.97826039999927,None,75.97826039999927,None,75.97826039999927,76.48010849999991,75.97826039999927,76.48010849999991,75.97826039999927,76.48010849999991,75.97826039999927,76.48010849999991,75.97826039999927,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11002,001,2023_Dec_29_1307,nback,2021.2.3,60.46976541877763,
