backseq,backinstr,backfile,instruction,size_in,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,37.4797521000728,38.48192989989184,37.4797521000728,38.48192989989184,37.4797521000728,38.48192989989184,37.4797521000728,38.48192989989184,down,1,0.4978873999789357,37.4797521000728,None,37.4797521000728,None,37.4797521000728,37.98025569994934,37.4797521000728,37.98025569994934,37.4797521000728,37.98025569994934,37.4797521000728,37.98025569994934,37.4797521000728,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,38.98197379987687,39.98380680009723,38.98197379987687,39.98380680009723,38.98197379987687,39.98380680009723,38.98197379987687,39.98380680009723,up,1,0.5073935999535024,38.98197379987687,None,38.98197379987687,None,38.98197379987687,39.48283059988171,38.98197379987687,39.48283059988171,38.98197379987687,39.48283059988171,38.98197379987687,39.48283059988171,38.98197379987687,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,40.48412619996816,41.48550980002619,40.48412619996816,41.48550980002619,40.48412619996816,41.48550980002619,40.48412619996816,41.48550980002619,left,1,0.4375040999148041,40.48412619996816,None,40.48412619996816,None,40.48412619996816,40.98483409988694,40.48412619996816,40.98483409988694,40.48412619996816,40.98483409988694,40.48412619996816,40.98483409988694,40.48412619996816,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,41.98647530004382,42.98784440010786,41.98647530004382,42.98784440010786,41.98647530004382,42.98784440010786,41.98647530004382,42.98784440010786,down,1,0.35933990008197725,41.98647530004382,None,41.98647530004382,None,41.98647530004382,42.48713540006429,41.98647530004382,42.48713540006429,41.98647530004382,42.48713540006429,41.98647530004382,42.48713540006429,41.98647530004382,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,43.488546699984,44.49011919996701,43.488546699984,44.49011919996701,43.488546699984,44.49011919996701,43.488546699984,44.49011919996701,right,1,0.32159500010311604,43.488546699984,None,43.488546699984,None,43.488546699984,43.98945149988867,43.488546699984,43.98945149988867,43.488546699984,43.98945149988867,43.488546699984,43.98945149988867,43.488546699984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,44.97413260000758,45.97570449998602,44.97413260000758,45.97570449998602,44.97413260000758,45.97570449998602,44.97413260000758,45.97570449998602,up,1,0.4995143001433462,44.97413260000758,None,44.97413260000758,None,44.97413260000758,45.47503419988789,44.97413260000758,45.47503419988789,44.97413260000758,45.47503419988789,44.97413260000758,45.47503419988789,44.97413260000758,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,46.47651070007123,47.478351699886844,46.47651070007123,47.478351699886844,46.47651070007123,47.478351699886844,46.47651070007123,47.478351699886844,left,1,0.3743728999979794,46.47651070007123,None,46.47651070007123,None,46.47651070007123,46.977179100038484,46.47651070007123,46.977179100038484,46.47651070007123,46.977179100038484,46.47651070007123,46.977179100038484,46.47651070007123,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,47.97926550009288,48.98012199997902,47.97926550009288,48.98012199997902,47.97926550009288,48.98012199997902,47.97926550009288,48.98012199997902,right,1,0.46253130002878606,47.97926550009288,None,47.97926550009288,None,47.97926550009288,48.47966059995815,47.97926550009288,48.47966059995815,47.97926550009288,48.47966059995815,47.97926550009288,48.47966059995815,47.97926550009288,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,49.48125439998694,50.482530100038275,49.48125439998694,50.482530100038275,49.48125439998694,50.482530100038275,49.48125439998694,50.482530100038275,up,1,0.5296519999392331,49.48125439998694,None,49.48125439998694,None,49.48125439998694,49.9817536000628,49.48125439998694,49.9817536000628,49.48125439998694,49.9817536000628,49.48125439998694,49.9817536000628,49.48125439998694,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,50.98329390003346,51.9849288999103,50.98329390003346,51.9849288999103,50.98329390003346,51.9849288999103,50.98329390003346,51.9849288999103,down,1,0.6107437999453396,50.98329390003346,None,50.98329390003346,None,50.98329390003346,51.48406869987957,50.98329390003346,51.48406869987957,50.98329390003346,51.48406869987957,50.98329390003346,51.48406869987957,50.98329390003346,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11045,001,2024_Apr_13_1128,nback,2021.2.3,60.06770827691016,
