backseq,backinstr,backfile,instruction,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,key_resp_5.rt,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.788211300001421,None,10.706985400000121,None,space,18.107161499996437,10.706985400000121,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11004,001,2023_Dec_29_1405,nback,2021.2.3,60.04314700545342,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,29.000406200000725,None,space,43.045983699994395,29.000406200000725,None,72.23093019999942,76.73848729999736,76.6884807000024,None,77.08863340000244,78.08963290000247,77.08863340000244,78.08963290000247,77.08863340000244,78.08963290000247,77.08863340000244,78.08963290000247,up,1,0.4853900999951293,77.08863340000244,None,77.08863340000244,None,77.08863340000244,77.58881259999907,77.08863340000244,77.58881259999907,77.08863340000244,77.58881259999907,77.08863340000244,77.58881259999907,77.08863340000244,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11004,001,2023_Dec_29_1405,nback,2021.2.3,60.04314700545342,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,78.57339130000037,79.57598799999687,78.57339130000037,79.57598799999687,78.57339130000037,79.57598799999687,78.57339130000037,79.57598799999687,left,1,0.440803199999209,78.57339130000037,None,78.57339130000037,None,78.57339130000037,79.07492849999835,78.57339130000037,79.07492849999835,78.57339130000037,79.07492849999835,78.57339130000037,79.07492849999835,78.57339130000037,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11004,001,2023_Dec_29_1405,nback,2021.2.3,60.04314700545342,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,80.07566979999683,81.07727689999592,80.07566979999683,81.07727689999592,80.07566979999683,81.07727689999592,80.07566979999683,81.07727689999592,right,1,0.4669833999942057,80.07566979999683,None,80.07566979999683,None,80.07566979999683,80.57734419999906,80.07566979999683,80.57734419999906,80.07566979999683,80.57734419999906,80.07566979999683,80.57734419999906,80.07566979999683,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11004,001,2023_Dec_29_1405,nback,2021.2.3,60.04314700545342,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,81.6281650000019,82.63083399999596,81.6281650000019,82.63083399999596,81.6281650000019,82.63083399999596,81.6281650000019,82.63083399999596,down,1,0.6907967000006465,81.6281650000019,None,81.6281650000019,None,81.6281650000019,82.12956169999961,81.6281650000019,82.12956169999961,81.6281650000019,82.12956169999961,81.6281650000019,82.12956169999961,81.6281650000019,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11004,001,2023_Dec_29_1405,nback,2021.2.3,60.04314700545342,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,83.0810507999995,84.08273879999615,83.0810507999995,84.08273879999615,83.0810507999995,84.08273879999615,83.0810507999995,84.08273879999615,left,1,0.42082330000266666,83.0810507999995,None,83.0810507999995,None,83.0810507999995,83.58143800000107,83.0810507999995,83.58143800000107,83.0810507999995,83.58143800000107,83.0810507999995,83.58143800000107,83.0810507999995,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11004,001,2023_Dec_29_1405,nback,2021.2.3,60.04314700545342,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,84.58238249999704,85.58395739999833,84.58238249999704,85.58395739999833,84.58238249999704,85.58395739999833,84.58238249999704,85.58395739999833,up,1,0.3436507999940659,84.58238249999704,None,84.58238249999704,None,84.58238249999704,85.08389979999629,84.58238249999704,85.08389979999629,84.58238249999704,85.08389979999629,84.58238249999704,85.08389979999629,84.58238249999704,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11004,001,2023_Dec_29_1405,nback,2021.2.3,60.04314700545342,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,86.08452229999966,87.08701479999581,86.08452229999966,87.08701479999581,86.08452229999966,87.08701479999581,86.08452229999966,87.08701479999581,down,1,0.7614573000028031,86.08452229999966,None,86.08452229999966,None,86.08452229999966,86.5855442999964,86.08452229999966,86.5855442999964,86.08452229999966,86.5855442999964,86.08452229999966,86.5855442999964,86.08452229999966,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11004,001,2023_Dec_29_1405,nback,2021.2.3,60.04314700545342,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,87.57140110000182,88.57234900000185,87.57140110000182,88.57234900000185,87.57140110000182,88.57234900000185,87.57140110000182,88.57234900000185,right,1,0.3865150999990874,87.57140110000182,None,87.57140110000182,None,87.57140110000182,88.07146649999777,87.57140110000182,88.07146649999777,87.57140110000182,88.07146649999777,87.57140110000182,88.07146649999777,87.57140110000182,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11004,001,2023_Dec_29_1405,nback,2021.2.3,60.04314700545342,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,89.07269069999893,90.07451030000084,89.07269069999893,90.07451030000084,89.07269069999893,90.07451030000084,89.07269069999893,90.07451030000084,right,1,0.4135863000046811,89.07269069999893,None,89.07269069999893,None,89.07269069999893,89.57355029999599,89.07269069999893,89.57355029999599,89.07269069999893,89.57355029999599,89.07269069999893,89.57355029999599,89.07269069999893,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11004,001,2023_Dec_29_1405,nback,2021.2.3,60.04314700545342,
