backseq,backinstr,backfile,instruction,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,109.60185130000173,110.60272370000166,109.60185130000173,110.60272370000166,109.60185130000173,110.60272370000166,109.60185130000173,110.60272370000166,None,0,,109.60185130000173,None,109.60185130000173,None,109.60185130000173,110.10233510000398,109.60185130000173,110.10233510000398,109.60185130000173,110.10233510000398,109.60185130000173,110.10233510000398,109.60185130000173,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,111.10283850000269,112.10452810000425,111.10283850000269,112.10452810000425,111.10283850000269,112.10452810000425,111.10283850000269,112.10452810000425,up,1,0.3198271999935969,111.10283850000269,None,111.10283850000269,None,111.10283850000269,111.60400800000207,111.10283850000269,111.60400800000207,111.10283850000269,111.60400800000207,111.10283850000269,111.60400800000207,111.10283850000269,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,112.6234409000026,113.62409290000505,112.6234409000026,113.62409290000505,112.6234409000026,113.62409290000505,112.6234409000026,113.62409290000505,left,1,0.32753129999764496,112.6234409000026,None,112.6234409000026,None,112.6234409000026,113.12303619999875,112.6234409000026,113.12303619999875,112.6234409000026,113.12303619999875,112.6234409000026,113.12303619999875,112.6234409000026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,114.10718890000135,115.10966400000325,114.10718890000135,115.10966400000325,114.10718890000135,115.10966400000325,114.10718890000135,115.10966400000325,down,1,0.29995960000087507,114.10718890000135,None,114.10718890000135,None,114.10718890000135,114.60849299999973,114.10718890000135,114.60849299999973,114.10718890000135,114.60849299999973,114.10718890000135,114.60849299999973,114.10718890000135,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,115.62781640000321,116.62851840000076,115.62781640000321,116.62851840000076,115.62781640000321,116.62851840000076,115.62781640000321,116.62851840000076,right,1,0.29194139999890467,115.62781640000321,None,115.62781640000321,None,115.62781640000321,116.12781679999898,115.62781640000321,116.12781679999898,115.62781640000321,116.12781679999898,115.62781640000321,116.12781679999898,115.62781640000321,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,117.09546720000071,118.09665880000102,117.09546720000071,118.09665880000102,117.09546720000071,118.09665880000102,117.09546720000071,118.09665880000102,up,1,0.27157480000460055,117.09546720000071,None,117.09546720000071,None,117.09546720000071,117.59667610000179,117.09546720000071,117.59667610000179,117.09546720000071,117.59667610000179,117.09546720000071,117.59667610000179,117.09546720000071,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,118.5971978000016,119.59962680000172,118.5971978000016,119.59962680000172,118.5971978000016,119.59962680000172,118.5971978000016,119.59962680000172,left,1,0.2741371000010986,118.5971978000016,None,118.5971978000016,None,118.5971978000016,119.09947430000466,118.5971978000016,119.09947430000466,118.5971978000016,119.09947430000466,118.5971978000016,119.09947430000466,118.5971978000016,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,120.09959969999909,121.10194970000157,120.09959969999909,121.10194970000157,120.09959969999909,121.10194970000157,120.09959969999909,121.10194970000157,right,1,0.2837530999968294,120.09959969999909,None,120.09959969999909,None,120.09959969999909,120.60152210000524,120.09959969999909,120.60152210000524,120.09959969999909,120.60152210000524,120.09959969999909,120.60152210000524,120.09959969999909,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,121.61950449999858,122.62002470000152,121.61950449999858,122.62002470000152,121.61950449999858,122.62002470000152,121.61950449999858,122.62002470000152,up,1,0.39547329999913927,121.61950449999858,None,121.61950449999858,None,121.61950449999858,122.1198430000004,121.61950449999858,122.1198430000004,121.61950449999858,122.1198430000004,121.61950449999858,122.1198430000004,121.61950449999858,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,123.10409880000225,124.106108400003,123.10409880000225,124.106108400003,123.10409880000225,124.106108400003,123.10409880000225,124.106108400003,down,1,0.27110910000192234,123.10409880000225,None,123.10409880000225,None,123.10409880000225,123.60559460000513,123.10409880000225,123.60559460000513,123.10409880000225,123.60559460000513,123.10409880000225,123.60559460000513,123.10409880000225,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11001,001,2023_Dec_29_1020,nback,2021.2.3,60.33415468144957,
