backseq,backinstr,backfile,instruction,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image_2.started,key_resp.started,key_resp.keys,key_resp.rt,image_3.started,key_resp_2.started,key_resp_2.keys,key_resp_2.rt,image_4.started,text.started,image_4.stopped,text.stopped,H1.started,H2.started,H3.started,H4.started,key_resp_3.started,text_4.started,F1.started,F2.started,F3.started,F4.started,image_7.started,F1.stopped,F2.stopped,F3.stopped,F4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.rt,H1.stopped,H2.stopped,H3.stopped,H4.stopped,key_resp_3.stopped,text_4.stopped,image_7.stopped,text_5.started,key_resp_6.started,key_resp_6.keys,key_resp_6.rt,image_5.started,key_resp_4.started,key_resp_4.keys,key_resp_4.rt,key_resp_5.started,text_3.started,H1_2.started,H2_2.started,H3_2.started,H4_2.started,F1_2.started,F2_2.started,F3_2.started,F4_2.started,image_8.started,F1_2.stopped,F2_2.stopped,F3_2.stopped,F4_2.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.stopped,text_3.stopped,H1_2.stopped,H2_2.stopped,H3_2.stopped,H4_2.stopped,image_8.stopped,text_2.started,text_2.stopped,image_6.started,participant,session,date,expName,psychopyVersion,frameRate,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,100.64987850000034,100.64987850000034,100.64987850000034,100.64987850000034,100.64987850000034,100.64987850000034,100.64987850000034,100.64987850000034,100.64987850000034,100.64987850000034,100.64987850000034,101.14577820000704,101.14577820000704,101.14577820000704,101.14577820000704,down,1,0.4650480999989668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,1,2024-06-14_17h17.42.471,nback,2022.2.4,None,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,102.15132070000982,102.15132070000982,102.15132070000982,102.15132070000982,102.15132070000982,102.15132070000982,102.15132070000982,102.15132070000982,102.15132070000982,102.15132070000982,102.15132070000982,102.64695619999839,102.64695619999839,102.64695619999839,102.64695619999839,up,1,0.5386022999882698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,1,2024-06-14_17h17.42.471,nback,2022.2.4,None,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,103.65315349999582,103.65315349999582,103.65315349999582,103.65315349999582,103.65315349999582,103.65315349999582,103.65315349999582,103.65315349999582,103.65315349999582,103.65315349999582,103.65315349999582,104.14935730000434,104.14935730000434,104.14935730000434,104.14935730000434,left,1,0.2922209000098519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,1,2024-06-14_17h17.42.471,nback,2022.2.4,None,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,105.16069720000087,105.16069720000087,105.16069720000087,105.16069720000087,105.16069720000087,105.16069720000087,105.16069720000087,105.16069720000087,105.16069720000087,105.16069720000087,105.16069720000087,105.65984950000711,105.65984950000711,105.65984950000711,105.65984950000711,down,1,0.6343221999850357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,1,2024-06-14_17h17.42.471,nback,2022.2.4,None,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,106.66299399999843,106.66299399999843,106.66299399999843,106.66299399999843,106.66299399999843,106.66299399999843,106.66299399999843,106.66299399999843,106.66299399999843,106.66299399999843,106.66299399999843,107.16049950000888,107.16049950000888,107.16049950000888,107.16049950000888,right,1,0.36263570000301115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,1,2024-06-14_17h17.42.471,nback,2022.2.4,None,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,108.16236800000479,108.16236800000479,108.16236800000479,108.16236800000479,108.16236800000479,108.16236800000479,108.16236800000479,108.16236800000479,108.16236800000479,108.16236800000479,108.16236800000479,108.65989460000128,108.65989460000128,108.65989460000128,108.65989460000128,up,1,0.25535810001019854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,1,2024-06-14_17h17.42.471,nback,2022.2.4,None,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,109.6623685000086,109.6623685000086,109.6623685000086,109.6623685000086,109.6623685000086,109.6623685000086,109.6623685000086,109.6623685000086,109.6623685000086,109.6623685000086,109.6623685000086,110.1601559999981,110.1601559999981,110.1601559999981,110.1601559999981,left,1,0.2586728000023868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,1,2024-06-14_17h17.42.471,nback,2022.2.4,None,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,111.15177589999803,111.15177589999803,111.15177589999803,111.15177589999803,111.15177589999803,111.15177589999803,111.15177589999803,111.15177589999803,111.15177589999803,111.15177589999803,111.15177589999803,111.64877400000114,111.64877400000114,111.64877400000114,111.64877400000114,right,1,0.46548910001001786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,1,2024-06-14_17h17.42.471,nback,2022.2.4,None,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,112.65225369999825,112.65225369999825,112.65225369999825,112.65225369999825,112.65225369999825,112.65225369999825,112.65225369999825,112.65225369999825,112.65225369999825,112.65225369999825,112.65225369999825,113.15181419999863,113.15181419999863,113.15181419999863,113.15181419999863,up,1,0.42969710000033956,114.15660879999632,114.15660879999632,114.15660879999632,114.15660879999632,114.15660879999632,114.15660879999632,114.15660879999632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,1,2024-06-14_17h17.42.471,nback,2022.2.4,None,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,114.15660879999632,114.15660879999632,114.15660879999632,114.15660879999632,114.15660879999632,114.15660879999632,114.15660879999632,114.15660879999632,114.15660879999632,114.15660879999632,114.15660879999632,114.65824070000963,114.65824070000963,114.65824070000963,114.65824070000963,down,1,0.6768696999934036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12007,1,2024-06-14_17h17.42.471,nback,2022.2.4,None,
