backseq,backinstr,backfile,instruction,size_in,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,key_resp_3.rt,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,key_resp_5.rt,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8982766000554,33.8992903000908,32.8982766000554,33.8992903000908,32.8982766000554,33.8992903000908,32.8982766000554,33.8992903000908,None,0,32.8982766000554,None,32.8982766000554,None,32.8982766000554,33.39868430001661,32.8982766000554,33.39868430001661,32.8982766000554,33.39868430001661,32.8982766000554,33.39868430001661,32.8982766000554,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,34.39961439999752,35.401115800021216,34.39961439999752,35.401115800021216,34.39961439999752,35.401115800021216,34.39961439999752,35.401115800021216,None,0,34.39961439999752,None,34.39961439999752,None,34.39961439999752,34.901515000034124,34.39961439999752,34.901515000034124,34.39961439999752,34.901515000034124,34.39961439999752,34.901515000034124,34.39961439999752,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,35.90178100008052,36.90331170009449,35.90178100008052,36.90331170009449,35.90178100008052,36.90331170009449,35.90178100008052,36.90331170009449,None,0,35.90178100008052,None,35.90178100008052,None,35.90178100008052,36.40354299999308,35.90178100008052,36.40354299999308,35.90178100008052,36.40354299999308,35.90178100008052,36.40354299999308,35.90178100008052,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,37.404181500081904,38.40666910004802,37.404181500081904,38.40666910004802,37.404181500081904,38.40666910004802,37.404181500081904,38.40666910004802,None,0,37.404181500081904,None,37.404181500081904,None,37.404181500081904,37.90534800000023,37.404181500081904,37.90534800000023,37.404181500081904,37.90534800000023,37.404181500081904,37.90534800000023,37.404181500081904,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,38.906314700026996,39.90867270005401,38.906314700026996,39.90867270005401,38.906314700026996,39.90867270005401,38.906314700026996,39.90867270005401,None,0,38.906314700026996,None,38.906314700026996,None,38.906314700026996,39.40725710010156,38.906314700026996,39.40725710010156,38.906314700026996,39.40725710010156,38.906314700026996,39.40725710010156,38.906314700026996,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,40.39190000004601,41.39469680003822,40.39190000004601,41.39469680003822,40.39190000004601,41.39469680003822,40.39190000004601,41.39469680003822,None,0,40.39190000004601,None,40.39190000004601,None,40.39190000004601,40.89258510002401,40.39190000004601,40.89258510002401,40.39190000004601,40.89258510002401,40.39190000004601,40.89258510002401,40.39190000004601,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,41.894299200037494,42.89683960005641,41.894299200037494,42.89683960005641,41.894299200037494,42.89683960005641,41.894299200037494,42.89683960005641,None,0,41.894299200037494,None,41.894299200037494,None,41.894299200037494,42.39504780003335,41.894299200037494,42.39504780003335,41.894299200037494,42.39504780003335,41.894299200037494,42.39504780003335,41.894299200037494,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,43.396526900003664,44.3979281000793,43.396526900003664,44.3979281000793,43.396526900003664,44.3979281000793,43.396526900003664,44.3979281000793,None,0,43.396526900003664,None,43.396526900003664,None,43.396526900003664,43.89809490006883,43.396526900003664,43.89809490006883,43.396526900003664,43.89809490006883,43.396526900003664,43.89809490006883,43.396526900003664,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,44.898842100054026,45.901049000094645,44.898842100054026,45.901049000094645,44.898842100054026,45.901049000094645,44.898842100054026,45.901049000094645,None,0,44.898842100054026,None,44.898842100054026,None,44.898842100054026,45.40039240010083,44.898842100054026,45.40039240010083,44.898842100054026,45.40039240010083,44.898842100054026,45.40039240010083,44.898842100054026,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,46.40114130009897,47.40327450004406,46.40114130009897,47.40327450004406,46.40114130009897,47.40327450004406,46.40114130009897,47.40327450004406,None,0,46.40114130009897,None,46.40114130009897,None,46.40114130009897,46.902550800004974,46.40114130009897,46.902550800004974,46.40114130009897,46.902550800004974,46.40114130009897,46.902550800004974,46.40114130009897,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,47.90334399999119,48.904668100061826,47.90334399999119,48.904668100061826,47.90334399999119,48.904668100061826,47.90334399999119,48.904668100061826,None,0,47.90334399999119,None,47.90334399999119,None,47.90334399999119,48.40458930004388,47.90334399999119,48.40458930004388,47.90334399999119,48.40458930004388,47.90334399999119,48.40458930004388,47.90334399999119,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,"(25, 15)",practice,1,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,None,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,49.60680030006915,None,space,3.5193783999420702,49.60680030006915,None,53.26213470008224,57.769842999987304,57.73480670002755,None,58.16944570001215,59.17115200008266,58.16944570001215,59.17115200008266,58.16944570001215,59.17115200008266,58.16944570001215,59.17115200008266,None,1,58.16944570001215,None,58.16944570001215,None,58.16944570001215,58.67055710009299,58.16944570001215,58.67055710009299,58.16944570001215,58.67055710009299,58.16944570001215,58.67055710009299,58.16944570001215,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
1-back,instructions\back-1.png,conditions\1back-p.xlsx,instructions\1-BACK.png,"(25, 15)",practice,1,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,1,1,1,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,59.65429710003082,60.65585610002745,59.65429710003082,60.65585610002745,59.65429710003082,60.65585610002745,59.65429710003082,60.65585610002745,up,1,59.65429710003082,None,59.65429710003082,None,59.65429710003082,60.15512640005909,59.65429710003082,60.15512640005909,59.65429710003082,60.15512640005909,59.65429710003082,60.15512640005909,59.65429710003082,None,0.2627868999261409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12004,001,2024_Jun_13_1348,nback,2021.2.3,59.74625765910863,
