backseq,backinstr,backfile,instruction,size_in,Trialtype,back,number,P1,P2,P3,P4,corrAns,trials_practice.thisRepN,trials_practice.thisTrialN,trials_practice.thisN,trials_practice.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,image.started,image.stopped,image_2.started,image_2.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,image_3.started,image_3.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,image_4.started,image_4.stopped,text.started,text.stopped,H1.started,H1.stopped,H2.started,H2.stopped,H3.started,H3.stopped,H4.started,H4.stopped,key_resp_3.keys,key_resp_3.corr,key_resp_3.started,key_resp_3.stopped,text_4.started,text_4.stopped,F1.started,F1.stopped,F2.started,F2.stopped,F3.started,F3.stopped,F4.started,F4.stopped,image_7.started,image_7.stopped,key_resp_3.rt,text_5.started,text_5.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,image_5.started,image_5.stopped,key_resp_4.keys,key_resp_4.rt,key_resp_4.started,key_resp_4.stopped,key_resp_5.keys,key_resp_5.corr,key_resp_5.rt,key_resp_5.started,key_resp_5.stopped,text_3.started,text_3.stopped,H1_2.started,H1_2.stopped,H2_2.started,H2_2.stopped,H3_2.started,H3_2.stopped,H4_2.started,H4_2.stopped,F1_2.started,F1_2.stopped,F2_2.started,F2_2.stopped,F3_2.started,F3_2.stopped,F4_2.started,F4_2.stopped,image_8.started,image_8.stopped,text_2.started,text_2.stopped,image_6.started,image_6.stopped,participant,session,date,expName,psychopyVersion,frameRate,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,135.38502909999806,136.38634249998722,135.38502909999806,136.38634249998722,135.38502909999806,136.38634249998722,135.38502909999806,136.38634249998722,down,1,135.38502909999806,None,135.38502909999806,None,135.38502909999806,135.88480949995574,135.38502909999806,135.88480949995574,135.38502909999806,135.88480949995574,135.38502909999806,135.88480949995574,135.38502909999806,None,0.5248874999815598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,,136.93608110002242,137.93879709998146,136.93608110002242,137.93879709998146,136.93608110002242,137.93879709998146,136.93608110002242,137.93879709998146,up,1,136.93608110002242,None,136.93608110002242,None,136.93608110002242,137.43730760004837,136.93608110002242,137.43730760004837,136.93608110002242,137.43730760004837,136.93608110002242,137.43730760004837,136.93608110002242,None,0.43808619992341846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,138.38862680003513,139.38997260003816,138.38862680003513,139.38997260003816,138.38862680003513,139.38997260003816,138.38862680003513,139.38997260003816,left,1,138.38862680003513,None,138.38862680003513,None,138.38862680003513,138.88937390001956,138.38862680003513,138.88937390001956,138.38862680003513,138.88937390001956,138.38862680003513,138.88937390001956,138.38862680003513,None,0.3774898999836296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,,,139.89097069995478,140.89304789993912,139.89097069995478,140.89304789993912,139.89097069995478,140.89304789993912,139.89097069995478,140.89304789993912,down,1,139.89097069995478,None,139.89097069995478,None,139.89097069995478,140.3916461999761,139.89097069995478,140.3916461999761,139.89097069995478,140.3916461999761,139.89097069995478,140.3916461999761,139.89097069995478,None,0.3948659999296069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,13,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,141.39309599995613,142.3946508000372,141.39309599995613,142.3946508000372,141.39309599995613,142.3946508000372,141.39309599995613,142.3946508000372,right,1,141.39309599995613,None,141.39309599995613,None,141.39309599995613,141.89390270004515,141.39309599995613,141.89390270004515,141.39309599995613,141.89390270004515,141.39309599995613,141.89390270004515,141.39309599995613,None,0.31703949999064207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,14,14,14,,,,,,,,,,,,,,,,,,,,,,,,,,,142.8785218000412,143.88008120004088,142.8785218000412,143.88008120004088,142.8785218000412,143.88008120004088,142.8785218000412,143.88008120004088,up,1,142.8785218000412,None,142.8785218000412,None,142.8785218000412,143.38019279995933,142.8785218000412,143.38019279995933,142.8785218000412,143.38019279995933,142.8785218000412,143.38019279995933,142.8785218000412,None,0.3682534999679774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,2,stim\gray.png,stim\yellow.png,stim\gray.png,stim\gray.png,left,0,0,0,0,0,0,0,0,0,15,15,15,,,,,,,,,,,,,,,,,,,,,,,,,,,144.38083020003978,145.38437490002252,144.38083020003978,145.38437490002252,144.38083020003978,145.38437490002252,144.38083020003978,145.38437490002252,left,1,144.38083020003978,None,144.38083020003978,None,144.38083020003978,144.8818900999613,144.38083020003978,144.8818900999613,144.38083020003978,144.8818900999613,144.38083020003978,144.8818900999613,144.38083020003978,None,0.36902520002331585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,3,stim\gray.png,stim\gray.png,stim\yellow.png,stim\gray.png,right,0,0,0,0,0,0,0,0,0,16,16,16,,,,,,,,,,,,,,,,,,,,,,,,,,,145.88319039996713,146.88482529995963,145.88319039996713,146.88482529995963,145.88319039996713,146.88482529995963,145.88319039996713,146.88482529995963,right,1,145.88319039996713,None,145.88319039996713,None,145.88319039996713,146.38459789997432,145.88319039996713,146.38459789997432,145.88319039996713,146.38459789997432,145.88319039996713,146.38459789997432,145.88319039996713,None,0.3866512000095099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,1,stim\yellow.png,stim\gray.png,stim\gray.png,stim\gray.png,up,0,0,0,0,0,0,0,0,0,17,17,17,,,,,,,,,,,,,,,,,,,,,,,,,,,147.38611910003237,148.3881687000394,147.38611910003237,148.3881687000394,147.38611910003237,148.3881687000394,147.38611910003237,148.3881687000394,up,1,147.38611910003237,None,147.38611910003237,None,147.38611910003237,147.88655739999376,147.38611910003237,147.88655739999376,147.38611910003237,147.88655739999376,147.38611910003237,147.88655739999376,147.38611910003237,None,0.37973499996587634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
0-back,instructions\back-0.png,conditions\0back-p.xlsx,instructions\0-BACK.png,"(15, 8)",practice,0,4,stim\gray.png,stim\gray.png,stim\gray.png,stim\yellow.png,down,0,0,0,0,0,0,0,0,0,18,18,18,,,,,,,,,,,,,,,,,,,,,,,,,,,148.88853480003309,149.88995530002285,148.88853480003309,149.88995530002285,148.88853480003309,149.88995530002285,148.88853480003309,149.88995530002285,down,1,148.88853480003309,None,148.88853480003309,None,148.88853480003309,149.3890485999873,148.88853480003309,149.3890485999873,148.88853480003309,149.3890485999873,148.88853480003309,149.3890485999873,148.88853480003309,None,0.5578883999260142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11016,001,2024_Jan_04_1358,nback,2021.2.3,59.76600413999689,
