TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
go,triangle.png,space,1589,1.589,2.089,0,15,15,39,,,,,,,,,,,,,,,,,,,,,,,,,51.78648419998353,52.28724570001941,52.27080749999732,53.87297359999502,space,1,0.3292254999978468,51.78648419998353,51.78648419998353,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
go,triangle.png,space,1478,1.478,1.978,0,16,16,75,,,,,,,,,,,,,,,,,,,,,,,,,53.88973689998966,54.390283400018234,54.373645599989686,55.85980199999176,space,1,0.34555840003304183,53.88973689998966,53.88973689998966,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
go,triangle.png,space,1036,1.036,1.536,0,17,17,70,,,,,,,,,,,,,,,,,,,,,,,,,55.87584960000822,56.37681889999658,56.36003500001971,None,space,1,0.36822840000968426,55.87584960000822,55.87584960000822,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
go,triangle.png,space,1575,1.575,2.075,0,18,18,33,,,,,,,,,,,,,,,,,,,,,,,,,57.411790499987546,57.912581700016744,57.89560089999577,59.48148230003426,space,1,0.35948919999646023,57.411790499987546,57.411790499987546,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
go,triangle.png,space,1386,1.386,1.886,0,19,19,83,,,,,,,,,,,,,,,,,,,,,,,,,59.498071899986826,59.998989499988966,59.98234769998817,61.36772530002054,space,1,0.3134474999969825,59.498071899986826,59.498071899986826,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
nogo,square.png,None,1844,1.844,2.344,0,20,20,88,,,,,,,,,,,,,,,,,,,,,,,,,61.38415260001784,61.885307700023986,61.86831789999269,63.72166020004079,None,1,,61.38415260001784,61.38415260001784,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
go,triangle.png,space,1154,1.154,1.654,0,21,21,71,,,,,,,,,,,,,,,,,,,,,,,,,63.737552000035066,64.23911470000166,64.2222775000264,None,space,1,0.3142826999537647,63.737552000035066,63.737552000035066,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
go,triangle.png,space,1323,1.323,1.823,0,22,22,21,,,,,,,,,,,,,,,,,,,,,,,,,65.39037259999895,65.89110130001791,65.87437219999265,67.21035579999443,space,1,0.3093646999914199,65.39037259999895,65.39037259999895,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
nogo,square.png,None,1102,1.102,1.602,0,23,23,80,,,,,,,,,,,,,,,,,,,,,,,,,67.22631390002789,67.72789169999305,67.71056420000969,68.81244429998333,None,1,,67.22631390002789,67.22631390002789,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
go,triangle.png,space,1074,1.074,1.574,0,24,24,6,,,,,,,,,,,,,,,,,,,,,,,,,68.82885380001971,69.32950049999636,69.31307289999677,70.3981110000168,space,1,0.28677470004186034,68.82885380001971,68.82885380001971,,,,,,,11041,001,2024_Mar_15_1429,gonogo_T,2021.2.3,60.20436976083712,
