TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.started,key_resp_9.stopped,key_resp_9.rt,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,8.659241399960592,None,8.659241399960592,None,space,2.0011706999503076,8.659241399960592,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11029,001,2024_Jan_10_1550,gonogo_T,2021.2.3,59.55472130796131,
,,,,,,,,,,,,,,,,,,10.67993659991771,None,10.67993659991771,None,space,2.0440399998333305,10.67993659991771,None,,,,,,,,,,,,,,,,,,,,,,,,11029,001,2024_Jan_10_1550,gonogo_T,2021.2.3,59.55472130796131,
,,,,,,,,,,,,,,,,,,,,,,,,,,12.766065399860963,None,12.766065399860963,None,space,3.4141805998515338,12.766065399860963,None,,,,,,,,,,,,,,,,11029,001,2024_Jan_10_1550,gonogo_T,2021.2.3,59.55472130796131,
go,triangle.png,space,1918,1.918,2.418,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,16.269942099926993,16.771927299909294,16.754758999915794,18.675062999827787,None,0,16.269942099926993,None,,,,,,,,11029,001,2024_Jan_10_1550,gonogo_T,2021.2.3,59.55472130796131,
go,triangle.png,space,1822,1.822,2.322,0,1,1,26,,,,,,,,,,,,,,,,,,,,,,,,,18.690921099856496,19.19209249992855,19.175149999791756,21.011847599875182,space,1,18.690921099856496,18.690921099856496,0.4507647999562323,,,,,,,11029,001,2024_Jan_10_1550,gonogo_T,2021.2.3,59.55472130796131,
go,triangle.png,space,1991,1.991,2.491,0,2,2,82,,,,,,,,,,,,,,,,,,,,,,,,,21.028698300011456,21.52955639990978,21.511688499944285,23.515330699970946,space,1,21.028698300011456,21.028698300011456,0.40739559987559915,,,,,,,11029,001,2024_Jan_10_1550,gonogo_T,2021.2.3,59.55472130796131,
go,triangle.png,space,1575,1.575,2.075,0,3,3,33,,,,,,,,,,,,,,,,,,,,,,,,,23.532128299819306,24.03228980000131,24.015429199906066,25.601483599981293,space,1,23.532128299819306,23.532128299819306,0.39214010001160204,,,,,,,11029,001,2024_Jan_10_1550,gonogo_T,2021.2.3,59.55472130796131,
go,triangle.png,space,1806,1.806,2.306,0,4,4,85,,,,,,,,,,,,,,,,,,,,,,,,,25.61787429987453,26.118523799814284,26.10182480001822,27.92106630001217,space,1,25.61787429987453,25.61787429987453,0.3622789999935776,,,,,,,11029,001,2024_Jan_10_1550,gonogo_T,2021.2.3,59.55472130796131,
go,triangle.png,space,1154,1.154,1.654,0,5,5,71,,,,,,,,,,,,,,,,,,,,,,,,,27.937704699812457,28.439108199905604,28.422646399820223,29.590677399886772,space,1,27.937704699812457,27.937704699812457,0.29881309997290373,,,,,,,11029,001,2024_Jan_10_1550,gonogo_T,2021.2.3,59.55472130796131,
go,triangle.png,space,1979,1.979,2.479,0,6,6,93,,,,,,,,,,,,,,,,,,,,,,,,,29.60716659994796,30.107890999875963,30.092014899943024,32.07819879986346,space,1,29.60716659994796,29.60716659994796,0.3249510999303311,,,,,,,11029,001,2024_Jan_10_1550,gonogo_T,2021.2.3,59.55472130796131,
