TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.started,key_resp_9.stopped,key_resp_9.rt,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
nogo,square.png,None,1414,1.414,1.914,0,15,15,68,,,,,,,,,,,,,,,,,,,,,,,,,53.775152599904686,54.27608999982476,54.25972039997578,55.67910789977759,None,1,53.775152599904686,53.775152599904686,,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1478,1.478,1.978,0,16,16,75,,,,,,,,,,,,,,,,,,,,,,,,,55.69487789995037,56.19570859987289,56.17886669980362,57.66481849993579,space,1,55.69487789995037,55.69487789995037,0.4954874000977725,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1960,1.96,2.46,0,17,17,31,,,,,,,,,,,,,,,,,,,,,,,,,57.68114719982259,58.18210309999995,58.16554309986532,60.13491059979424,space,1,57.68114719982259,57.68114719982259,0.38127280003391206,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1095,1.095,1.595,0,18,18,63,,,,,,,,,,,,,,,,,,,,,,,,,60.15171159990132,60.65244049998,60.63584539992735,61.73737160000019,space,1,60.15171159990132,60.15171159990132,0.3108926999848336,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1630,1.63,2.13,0,19,19,23,,,,,,,,,,,,,,,,,,,,,,,,,61.75408389978111,62.254859699867666,62.238172699930146,63.87432099995203,space,1,61.75408389978111,61.75408389978111,0.4285552999936044,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1246,1.246,1.746,0,20,20,87,,,,,,,,,,,,,,,,,,,,,,,,,63.890960099874064,64.39128819992766,64.3751230998896,65.62659869994968,space,1,63.890960099874064,63.890960099874064,0.3077348000369966,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1087,1.087,1.587,0,21,21,50,,,,,,,,,,,,,,,,,,,,,,,,,65.6435940999072,66.1444152998738,66.12789749982767,67.22891269996762,space,1,65.6435940999072,65.6435940999072,0.3868060999084264,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1940,1.94,2.44,0,22,22,49,,,,,,,,,,,,,,,,,,,,,,,,,67.2457011998631,67.74629859998822,67.72969639999792,69.68289579986595,space,1,67.2457011998631,67.2457011998631,0.4016370000317693,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1370,1.37,1.87,0,23,23,13,,,,,,,,,,,,,,,,,,,,,,,,,69.69971379986964,70.20062109990977,70.18417789996602,None,space,1,69.69971379986964,69.69971379986964,0.41116389981471,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
nogo,square.png,None,1194,1.194,1.694,0,24,24,24,,,,,,,,,,,,,,,,,,,,,,,,,71.56872109998949,72.0694609999191,72.05290919984691,73.25507609988563,None,1,71.56872109998949,71.56872109998949,,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1532,1.532,2.032,0,25,25,2,,,,,,,,,,,,,,,,,,,,,,,,,73.27206759992987,73.77205679984763,73.75539710000157,75.29109099996276,space,1,73.27206759992987,73.27206759992987,0.32683950010687113,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1566,1.566,2.066,0,26,26,25,,,,,,,,,,,,,,,,,,,,,,,,,75.30844649998471,75.8089437999297,75.7917821998708,77.3616460999474,space,1,75.30844649998471,75.30844649998471,0.3151914000045508,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1711,1.711,2.211,0,27,27,65,,,,,,,,,,,,,,,,,,,,,,,,,77.37871459987946,77.87893579993397,77.86219299980439,79.58104009996168,space,1,77.37871459987946,77.37871459987946,0.31633260007947683,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
nogo,square.png,None,1636,1.636,2.136,0,28,28,0,,,,,,,,,,,,,,,,,,,,,,,,,79.59773599985056,80.09888969990425,80.0817610998638,81.71815919992514,None,1,79.59773599985056,79.59773599985056,,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1590,1.59,2.09,0,29,29,19,,,,,,,,,,,,,,,,,,,,,,,,,81.73481799988076,82.2351606998127,82.21842659986578,83.82094979984686,space,1,81.73481799988076,81.73481799988076,0.39213680010288954,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
nogo,square.png,None,1913,1.913,2.413,0,30,30,36,,,,,,,,,,,,,,,,,,,,,,,,,83.8376468999777,84.338446599897,84.32178379991092,86.24106079991907,None,1,83.8376468999777,83.8376468999777,,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1589,1.589,2.089,0,31,31,39,,,,,,,,,,,,,,,,,,,,,,,,,86.25766659993678,86.75895739998668,86.74188899993896,88.34444469981827,space,1,86.25766659993678,86.25766659993678,0.3012785001192242,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1918,1.918,2.418,0,32,32,3,,,,,,,,,,,,,,,,,,,,,,,,,88.36093999980949,88.86191089986823,88.84502369980328,90.76452829991467,space,1,88.36093999980949,88.36093999980949,0.3023707000538707,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1825,1.825,2.325,0,33,33,10,,,,,,,,,,,,,,,,,,,,,,,,,90.78110439982265,91.28206349979155,91.26534239994362,93.10133559978567,space,1,90.78110439982265,90.78110439982265,0.3383863000199199,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
nogo,square.png,None,1165,1.165,1.665,0,34,34,76,,,,,,,,,,,,,,,,,,,,,,,,,93.11824559979141,93.61875939997844,93.6020951999817,94.77101579983719,None,1,93.11824559979141,93.11824559979141,,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1761,1.761,2.261,0,35,35,95,,,,,,,,,,,,,,,,,,,,,,,,,94.78733629989438,95.28795419982634,95.27124149980955,97.0405431999825,space,1,94.78733629989438,94.78733629989438,0.36403930000960827,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
nogo,square.png,None,1467,1.467,1.967,0,36,36,72,,,,,,,,,,,,,,,,,,,,,,,,,97.0573908998631,97.55810429994017,97.54140889993869,99.01026109978557,None,1,97.0573908998631,97.0573908998631,,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
nogo,square.png,None,1131,1.131,1.631,0,37,37,52,,,,,,,,,,,,,,,,,,,,,,,,,99.02675759978592,99.5277234998066,99.51172919990495,100.64694239990786,None,1,99.02675759978592,99.02675759978592,,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
go,triangle.png,space,1630,1.63,2.13,0,38,38,79,,,,,,,,,,,,,,,,,,,,,,,,,100.66332639986649,101.16383569990285,101.14683119999245,102.78479919978417,space,1,100.66332639986649,100.66332639986649,0.36047609988600016,,,,,,,11045,001,2024_Apr_13_1123,gonogo_T,2021.2.3,59.94373678498334,
