TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.started,key_resp_9.stopped,key_resp_9.rt,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
go,triangle.png,space,1448,1.448,1.948,0,15,15,43,,,,,,,,,,,,,,,,,,,,,,,,,56.31689340015873,56.818172600120306,56.80166620016098,58.25320899998769,space,1,56.31689340015873,56.31689340015873,0.32843509991653264,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
nogo,square.png,None,1154,1.154,1.654,0,16,16,40,,,,,,,,,,,,,,,,,,,,,,,,,58.27049160003662,58.770546100102365,58.75422170013189,None,None,1,58.27049160003662,58.27049160003662,,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1074,1.074,1.574,0,17,17,6,,,,,,,,,,,,,,,,,,,,,,,,,59.923857300076634,60.42423789994791,60.40735370013863,61.49197440012358,space,1,59.923857300076634,59.923857300076634,0.43394119990989566,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1866,1.866,2.366,0,18,18,42,,,,,,,,,,,,,,,,,,,,,,,,,61.508465100079775,62.008870700141415,61.99288240005262,63.86211590003222,space,1,61.508465100079775,61.508465100079775,0.4726317999884486,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
nogo,square.png,None,1267,1.267,1.767,0,19,19,20,,,,,,,,,,,,,,,,,,,,,,,,,63.878598200157285,64.37898949999362,64.36321810004301,65.63166499999352,None,1,63.878598200157285,63.878598200157285,,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1161,1.161,1.661,0,20,20,62,,,,,,,,,,,,,,,,,,,,,,,,,65.64820690010674,66.14833900006488,66.13275290001184,67.30070320004597,space,1,65.64820690010674,65.64820690010674,0.30136059992946684,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1457,1.457,1.957,0,21,21,66,,,,,,,,,,,,,,,,,,,,,,,,,67.31679670000449,67.81792180007324,67.80100540001877,69.27116270014085,space,1,67.31679670000449,67.31679670000449,0.4168964000418782,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1711,1.711,2.211,0,22,22,65,,,,,,,,,,,,,,,,,,,,,,,,,69.28632070007734,69.78993390011601,69.77107230015099,71.48981030005962,space,1,69.28632070007734,69.28632070007734,0.39931790018454194,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1594,1.594,2.094,0,23,23,38,,,,,,,,,,,,,,,,,,,,,,,,,71.5073468000628,72.00818930007517,71.99051550007425,73.59553249995224,space,1,71.5073468000628,71.5073468000628,0.4666637999471277,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1806,1.806,2.306,0,24,24,85,,,,,,,,,,,,,,,,,,,,,,,,,73.60961110005155,74.11039480008185,74.09382280008867,75.91366790002212,space,1,73.60961110005155,73.60961110005155,0.3718309998512268,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1575,1.575,2.075,0,25,25,33,,,,,,,,,,,,,,,,,,,,,,,,,75.93063109996729,76.43053889996372,76.41412720014341,77.999738200102,space,1,75.93063109996729,75.93063109996729,0.3711369999218732,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1329,1.329,1.829,0,26,26,27,,,,,,,,,,,,,,,,,,,,,,,,,78.01636800006963,78.51762360008433,78.50060230004601,79.83578000008129,space,1,78.01636800006963,78.01636800006963,0.38127760007046163,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1262,1.262,1.762,0,27,27,61,,,,,,,,,,,,,,,,,,,,,,,,,79.85248280013911,80.35317170014605,80.33646150003187,81.60497620003298,space,1,79.85248280013911,79.85248280013911,0.3615041999146342,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1105,1.105,1.605,0,28,28,57,,,,,,,,,,,,,,,,,,,,,,,,,81.62168280011974,82.12260180013254,82.10578670003451,83.2242125000339,space,1,81.62168280011974,81.62168280011974,0.4402979000005871,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
nogo,square.png,None,1194,1.194,1.694,0,29,29,24,,,,,,,,,,,,,,,,,,,,,,,,,83.24095430015586,83.74232110008597,83.72574710007757,84.92700890009291,None,1,83.24095430015586,83.24095430015586,,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1003,1.003,1.503,0,30,30,15,,,,,,,,,,,,,,,,,,,,,,,,,84.94336859998293,85.44500900013372,85.42749790009111,86.43030630005524,space,1,84.94336859998293,84.94336859998293,0.41465759999118745,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1960,1.96,2.46,0,31,31,31,,,,,,,,,,,,,,,,,,,,,,,,,86.4456494001206,86.94674240006134,86.93068900005892,88.89929700014181,space,1,86.4456494001206,86.4456494001206,0.4240520999301225,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1445,1.445,1.945,0,32,32,5,,,,,,,,,,,,,,,,,,,,,,,,,88.9160287999548,89.41735110012814,89.39993850002065,90.85252030007541,space,1,88.9160287999548,88.9160287999548,0.353897700086236,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1714,1.714,2.214,0,33,33,22,,,,,,,,,,,,,,,,,,,,,,,,,90.86987520009279,91.37054569995962,91.35308480006643,93.07393800001591,space,1,90.86987520009279,90.86987520009279,0.4318601000122726,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1796,1.796,2.296,0,34,34,58,,,,,,,,,,,,,,,,,,,,,,,,,93.08914200006984,93.590509200003,93.57409940008074,95.37656700005755,space,1,93.08914200006984,93.08914200006984,0.3172430000267923,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1280,1.28,1.78,0,35,35,18,,,,,,,,,,,,,,,,,,,,,,,,,95.39303639996797,95.89401950011961,95.87790019996464,97.16350500006229,space,1,95.39303639996797,95.39303639996797,0.38145980006083846,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1246,1.246,1.746,0,36,36,87,,,,,,,,,,,,,,,,,,,,,,,,,97.17851989995688,97.68036959995516,97.66241839993745,98.91560570010915,space,1,97.17851989995688,97.17851989995688,0.3556113000959158,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1466,1.466,1.966,0,37,37,94,,,,,,,,,,,,,,,,,,,,,,,,,98.93235639994964,99.4319651001133,99.41524090012535,100.88413659995422,space,1,98.93235639994964,98.93235639994964,0.39370610006153584,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1716,1.716,2.216,0,38,38,14,,,,,,,,,,,,,,,,,,,,,,,,,100.90153270005248,101.40243740007281,101.38511810009368,103.10489720012993,space,1,100.90153270005248,100.90153270005248,0.3286726998630911,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1370,1.37,1.87,0,39,39,13,,,,,,,,,,,,,,,,,,,,,,,,,103.12093079998158,103.62155660009012,103.60499659995548,None,space,1,103.12093079998158,103.12093079998158,0.4372825000900775,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1344,1.344,1.844,0,40,40,53,,,,,,,,,,,,,,,,,,,,,,,,,104.99047680012882,105.49141409993172,105.47459969995543,106.82693039998412,space,1,104.99047680012882,104.99047680012882,0.3760131001472473,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1493,1.493,1.993,0,41,41,69,,,,,,,,,,,,,,,,,,,,,,,,,106.84297530003823,107.34456670004874,107.32758509996347,108.82951189996675,space,1,106.84297530003823,106.84297530003823,0.3396379998885095,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1869,1.869,2.369,0,42,42,59,,,,,,,,,,,,,,,,,,,,,,,,,108.84683990012854,109.34688890003599,109.33013699995354,111.20053349994123,space,1,108.84683990012854,108.84683990012854,0.40753560001030564,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
go,triangle.png,space,1320,1.32,1.82,0,43,43,54,,,,,,,,,,,,,,,,,,,,,,,,,111.21718130004592,111.71716669993475,111.70105989999138,None,space,1,111.21718130004592,111.21718130004592,0.3171590999700129,,,,,,,11037,001,2024_Mar_11_1529,gonogo_T,2021.2.3,60.45221892016567,
