TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.started,key_resp_9.stopped,key_resp_9.rt,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
go,triangle.png,space,1791,1.791,2.291,0,15,15,55,,,,,,,,,,,,,,,,,,,,,,,,,64.29966779999813,64.80054999999993,64.78335160000279,66.58571149999625,space,1,64.29966779999813,64.29966779999813,0.29180210000049556,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1323,1.323,1.823,0,16,16,21,,,,,,,,,,,,,,,,,,,,,,,,,66.60203049999836,67.10341979999794,67.0867212000012,68.4220576000007,space,1,66.60203049999836,66.60203049999836,0.3415796999979648,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1450,1.45,1.95,0,17,17,78,,,,,,,,,,,,,,,,,,,,,,,,,68.43800329999794,68.9395005999977,68.9227671999979,70.37431059999653,space,1,68.43800329999794,68.43800329999794,0.3375928000023123,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1590,1.59,2.09,0,18,18,19,,,,,,,,,,,,,,,,,,,,,,,,,70.39082339999732,70.89214119999815,70.87521389999893,72.47848330000124,space,1,70.39082339999732,70.39082339999732,0.42477060000237543,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1532,1.532,2.032,0,19,19,2,,,,,,,,,,,,,,,,,,,,,,,,,72.494091200002,72.99551659999997,72.97865989999991,74.51383209999767,space,1,72.494091200002,72.494091200002,0.35363470000447705,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1329,1.329,1.829,0,20,20,90,,,,,,,,,,,,,,,,,,,,,,,,,74.53002910000214,75.0318608000016,75.0152201000019,76.34986149999895,space,1,74.53002910000214,74.53002910000214,0.28668439999455586,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1388,1.388,1.888,0,21,21,9,,,,,,,,,,,,,,,,,,,,,,,,,76.36643309999636,76.86814120000054,76.8511451000013,78.25309589999961,space,1,76.36643309999636,76.36643309999636,0.29743439999583643,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
nogo,square.png,None,1194,1.194,1.694,0,22,22,24,,,,,,,,,,,,,,,,,,,,,,,,,78.2699661000006,78.77076900000247,78.75338979999651,79.95548560000316,None,1,78.2699661000006,78.2699661000006,,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1280,1.28,1.78,0,23,23,18,,,,,,,,,,,,,,,,,,,,,,,,,79.97208359999786,80.47292469999957,80.45665220000228,81.741723799998,space,1,79.97208359999786,79.97208359999786,0.36424690000421833,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1674,1.674,2.174,0,24,24,47,,,,,,,,,,,,,,,,,,,,,,,,,81.75818440000148,82.25915839999652,82.24239939999825,83.92817079999804,space,1,81.75818440000148,81.75818440000148,0.42549119999603136,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
nogo,square.png,None,1233,1.233,1.733,0,25,25,44,,,,,,,,,,,,,,,,,,,,,,,,,83.94430730000022,84.44509290000133,84.42875059999642,85.66349040000205,None,1,83.94430730000022,83.94430730000022,,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1445,1.445,1.945,0,26,26,5,,,,,,,,,,,,,,,,,,,,,,,,,85.6802125999966,86.18108930000017,86.1643613999986,87.61717820000194,space,1,85.6802125999966,85.6802125999966,0.3915640999985044,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
go,triangle.png,space,1869,1.869,2.369,0,27,27,59,,,,,,,,,,,,,,,,,,,,,,,,,87.63408940000227,88.1345708000008,88.11697730000014,89.98736259999714,space,1,87.63408940000227,87.63408940000227,0.2299297999998089,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
nogo,square.png,None,1611,1.611,2.111,0,28,28,28,,,,,,,,,,,,,,,,,,,,,,,,,90.00419810000312,90.5044379999963,90.48869520000153,92.10701400000107,space,0,90.00419810000312,90.00419810000312,0.23561640000116313,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
nogo,square.png,None,1776,1.776,2.276,0,29,29,8,,,,,,,,,,,,,,,,,,,,,,,,,92.12311139999656,92.62365439999849,92.60740459999943,94.39381500000309,None,1,92.12311139999656,92.12311139999656,,,,,,,,11004,001,2023_Dec_29_1401,gonogo_T,2021.2.3,59.60619379958503,
