TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
nogo,square.png,None,1913,1.913,2.413,0,15,15,36,,,,,,,,,,,,,,,,,,,,,,,,,79.95237880002242,80.45201400003862,80.43598980002571,82.35507069999585,None,1,,79.95237880002242,79.95237880002242,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
nogo,square.png,None,1636,1.636,2.136,0,16,16,0,,,,,,,,,,,,,,,,,,,,,,,,,82.37185410002712,82.87316369998734,82.85624500003178,84.49166240001796,None,1,,82.37185410002712,82.37185410002712,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
nogo,square.png,None,1895,1.895,2.395,0,17,17,4,,,,,,,,,,,,,,,,,,,,,,,,,84.50901360000717,85.0093632999924,84.99269400001504,86.89553420001175,None,1,,84.50901360000717,84.50901360000717,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1445,1.445,1.945,0,18,18,5,,,,,,,,,,,,,,,,,,,,,,,,,86.91160260001197,87.41252569999779,87.39612380001927,88.8476246999926,space,1,0.304333999985829,86.91160260001197,86.91160260001197,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1716,1.716,2.216,0,19,19,14,,,,,,,,,,,,,,,,,,,,,,,,,88.8644595000078,89.36567120003747,89.34856300003594,91.06753520003986,space,1,0.31895089999306947,88.8644595000078,88.8644595000078,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
nogo,square.png,None,1611,1.611,2.111,0,20,20,28,,,,,,,,,,,,,,,,,,,,,,,,,91.08426590001909,91.58613760001026,91.56948230002308,93.18757830001414,None,1,,91.08426590001909,91.08426590001909,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1262,1.262,1.762,0,21,21,61,,,,,,,,,,,,,,,,,,,,,,,,,93.20515769999474,93.70569510001224,93.6882881000056,94.9570221999893,space,1,0.48302619997411966,93.20515769999474,93.20515769999474,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1918,1.918,2.418,0,22,22,3,,,,,,,,,,,,,,,,,,,,,,,,,94.97345749998931,95.47430800000438,95.45779620000394,97.37767200003145,space,1,0.4660176999750547,94.97345749998931,94.97345749998931,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
nogo,square.png,None,1337,1.337,1.837,0,23,23,64,,,,,,,,,,,,,,,,,,,,,,,,,97.39459660003195,97.89516810001805,97.8777878000401,None,None,1,,97.39459660003195,97.39459660003195,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1450,1.45,1.95,0,24,24,78,,,,,,,,,,,,,,,,,,,,,,,,,99.23019370000111,99.73162410000805,99.71381490002386,101.1660684000235,space,1,0.44971149996854365,99.23019370000111,99.23019370000111,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
nogo,square.png,None,1165,1.165,1.665,0,25,25,76,,,,,,,,,,,,,,,,,,,,,,,,,101.183161700028,101.68440860003466,101.66757650004001,102.83556929999031,None,1,,101.183161700028,101.183161700028,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1021,1.021,1.521,0,26,26,91,,,,,,,,,,,,,,,,,,,,,,,,,102.85188309999648,103.35324309999123,103.33670590003021,104.37075090000872,space,1,0.33973269996931776,102.85188309999648,102.85188309999648,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1962,1.962,2.462,0,27,27,74,,,,,,,,,,,,,,,,,,,,,,,,,104.38811850000639,104.8889764000196,104.87190349999582,106.84126369998557,space,1,0.4677533999783918,104.38811850000639,104.38811850000639,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1940,1.94,2.44,0,28,28,49,,,,,,,,,,,,,,,,,,,,,,,,,106.85804449999705,107.35985629999777,107.34214040002553,None,space,1,0.46153400000184774,106.85804449999705,106.85804449999705,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
nogo,square.png,None,1194,1.194,1.694,0,29,29,24,,,,,,,,,,,,,,,,,,,,,,,,,109.29479760001414,109.7953343000263,109.77910560002783,110.98112280003261,None,1,,109.29479760001414,109.29479760001414,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1630,1.63,2.13,0,30,30,23,,,,,,,,,,,,,,,,,,,,,,,,,110.99807880003937,111.49809569999343,111.48195390001638,113.11786990001565,space,1,0.3297055999864824,110.99807880003937,110.99807880003937,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1344,1.344,1.844,0,31,31,53,,,,,,,,,,,,,,,,,,,,,,,,,113.13412200001767,113.63465790002374,113.61781399999745,114.96993570000632,space,1,0.2976728000212461,113.13412200001767,113.13412200001767,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1641,1.641,2.141,0,32,32,86,,,,,,,,,,,,,,,,,,,,,,,,,114.98675039998489,115.48747390002245,115.47115290001966,117.12374579999596,space,1,0.3248084000078961,114.98675039998489,114.98675039998489,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1329,1.329,1.829,0,33,33,90,,,,,,,,,,,,,,,,,,,,,,,,,117.13966879999498,117.64108770003077,117.62422050000168,118.9591981000267,space,1,0.27583810000214726,117.13966879999498,117.13966879999498,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1594,1.594,2.094,0,34,34,38,,,,,,,,,,,,,,,,,,,,,,,,,118.97590469999705,119.47681650001323,119.46076049999101,121.06221000000369,space,1,0.3515895999735221,118.97590469999705,118.97590469999705,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1866,1.866,2.366,0,35,35,42,,,,,,,,,,,,,,,,,,,,,,,,,121.07972610002616,121.58036510000238,121.56350500002736,123.43257659999654,space,1,0.35180429997853935,121.07972610002616,121.07972610002616,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1791,1.791,2.291,0,36,36,55,,,,,,,,,,,,,,,,,,,,,,,,,123.44904249999672,123.95012580003822,123.93373069999507,125.7360398999881,space,1,0.3103762000100687,123.44904249999672,123.44904249999672,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1955,1.955,2.455,0,37,37,35,,,,,,,,,,,,,,,,,,,,,,,,,125.75271000002977,126.25337340001715,126.236284899991,128.20610080001643,space,1,0.29494639998301864,125.75271000002977,125.75271000002977,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1323,1.323,1.823,0,38,38,21,,,,,,,,,,,,,,,,,,,,,,,,,128.22329769999487,128.72394220001297,128.70787869999185,130.04217610001797,space,1,0.31244110001716763,128.22329769999487,128.22329769999487,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
nogo,square.png,None,1776,1.776,2.276,0,39,39,8,,,,,,,,,,,,,,,,,,,,,,,,,130.0588207000401,130.5602271000389,130.5429100000183,132.3303093999857,None,1,,130.0588207000401,130.0588207000401,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
nogo,square.png,None,1600,1.6,2.1,0,40,40,92,,,,,,,,,,,,,,,,,,,,,,,,,132.3455474000075,132.84697910002433,132.83029670000542,134.432482800039,None,1,,132.3455474000075,132.3455474000075,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1711,1.711,2.211,0,41,41,65,,,,,,,,,,,,,,,,,,,,,,,,,134.4487109000329,134.95001760002924,134.93312930001412,136.65197720000288,space,1,0.40710230002878234,134.4487109000329,134.4487109000329,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1973,1.973,2.473,0,42,42,37,,,,,,,,,,,,,,,,,,,,,,,,,136.66931189998286,137.17002319998574,137.15331640001386,139.1392204000149,space,1,0.29016800003591925,136.66931189998286,136.66931189998286,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1052,1.052,1.552,0,43,43,89,,,,,,,,,,,,,,,,,,,,,,,,,139.155727400037,139.6562839000253,139.6407307999907,140.69180790003156,space,1,0.3006533000152558,139.155727400037,139.155727400037,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1074,1.074,1.574,0,44,44,41,,,,,,,,,,,,,,,,,,,,,,,,,140.70835140004056,141.20944760000566,141.19234609999694,142.27756180003053,space,1,0.3792408999870531,140.70835140004056,140.70835140004056,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
go,triangle.png,space,1388,1.388,1.888,0,45,45,9,,,,,,,,,,,,,,,,,,,,,,,,,142.2936315999832,142.7943518999964,142.77885659999447,144.18033910001395,space,1,0.3150883999769576,142.2936315999832,142.2936315999832,,,,,,,11008,001,2024_Jan_01_1541,gonogo_T,2021.2.3,60.116782855808154,
