TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.started,key_resp_9.stopped,key_resp_9.rt,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
nogo,triangle.png,None,1450,1.45,1.95,0,15,15,37,,,,,,,,,,,,,,,,,,,,,,,,,65.74016669997945,66.24079250008799,66.22415090003051,67.677852599998,None,1,65.74016669997945,65.74016669997945,,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1155,1.155,1.655,0,16,16,0,,,,,,,,,,,,,,,,,,,,,,,,,67.69310210004915,68.19418200000655,68.17777609999757,69.3465312999906,space,1,67.69310210004915,67.69310210004915,0.4749454000266269,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
nogo,triangle.png,None,1366,1.366,1.866,0,17,17,57,,,,,,,,,,,,,,,,,,,,,,,,,69.36246850003954,69.86370760004502,69.84714000008535,71.2163348000031,None,1,69.36246850003954,69.36246850003954,,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
nogo,triangle.png,None,1771,1.771,2.271,0,18,18,1,,,,,,,,,,,,,,,,,,,,,,,,,71.23175450006966,71.73245380003937,71.71586670004763,73.5018662000075,None,1,71.23175450006966,71.23175450006966,,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1900,1.9,2.4,0,19,19,52,,,,,,,,,,,,,,,,,,,,,,,,,73.51827140001114,74.01919240003917,74.00260630005505,75.90624669997487,space,1,73.51827140001114,73.51827140001114,0.36217010009568185,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1663,1.663,2.1630000000000003,0,20,20,7,,,,,,,,,,,,,,,,,,,,,,,,,75.92239730001893,76.42277350008953,76.40611950005405,78.07515210006386,space,1,75.92239730001893,75.92239730001893,0.5016548000276089,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1227,1.227,1.727,0,21,21,34,,,,,,,,,,,,,,,,,,,,,,,,,78.09204410004895,78.59255850000773,78.57578289997764,79.8113280000398,space,1,78.09204410004895,78.09204410004895,0.4680190000217408,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1857,1.857,2.357,0,22,22,2,,,,,,,,,,,,,,,,,,,,,,,,,79.8276804999914,80.3289805999957,80.31298779998906,82.18220040004235,space,1,79.8276804999914,79.8276804999914,0.33237540000118315,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
nogo,triangle.png,None,1569,1.569,2.069,0,23,23,45,,,,,,,,,,,,,,,,,,,,,,,,,82.19913490000181,82.69845660007559,82.6818797000451,84.25160600000527,None,1,82.19913490000181,82.19913490000181,,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
nogo,triangle.png,None,1939,1.939,2.439,0,24,24,65,,,,,,,,,,,,,,,,,,,,,,,,,84.26761189999525,84.76834910002071,84.75237730005756,86.70485440001357,None,1,84.26761189999525,84.26761189999525,,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1125,1.125,1.625,0,25,25,90,,,,,,,,,,,,,,,,,,,,,,,,,86.72195600008126,87.22197180008516,87.20535020006355,88.34037089999765,space,1,86.72195600008126,86.72195600008126,0.39010229997802526,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1513,1.513,2.013,0,26,26,8,,,,,,,,,,,,,,,,,,,,,,,,,88.35804580000695,88.85815470002126,88.84104640001897,90.3607785999775,space,1,88.35804580000695,88.35804580000695,0.43474409996997565,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
go,square.png,space,1084,1.084,1.584,0,27,27,95,,,,,,,,,,,,,,,,,,,,,,,,,90.37684819998685,90.8780680000782,90.86145920003764,91.94596220005769,space,1,90.37684819998685,90.37684819998685,0.2633934000041336,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
nogo,triangle.png,None,1577,1.577,2.077,0,28,28,89,,,,,,,,,,,,,,,,,,,,,,,,,91.96228820004035,92.46368950000033,92.44639360008296,94.03221810003743,space,0,91.96228820004035,91.96228820004035,0.2777248000493273,,,,,,,11019,001,2024_Jan_05_0947,gonogo_S,2021.2.3,60.12972387406447,
