TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,12.979312100214884,None,12.979312100214884,None,space,1.257270999951288,12.979312100214884,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11035,001,2024_Mar_10_1406,gonogo_S,2021.2.3,59.85009945608526,
,,,,,,,,,,,,,,,,,,14.264503200072795,None,14.264503200072795,None,space,6.995727700181305,14.264503200072795,None,,,,,,,,,,,,,,,,,,,,,,,,11035,001,2024_Mar_10_1406,gonogo_S,2021.2.3,59.85009945608526,
,,,,,,,,,,,,,,,,,,,,,,,,,,21.292753500165418,None,21.292753500165418,None,space,12.807929100003093,21.292753500165418,None,,,,,,,,,,,,,,,,11035,001,2024_Mar_10_1406,gonogo_S,2021.2.3,59.85009945608526,
go,square.png,space,1780,1.78,2.2800000000000002,0,0,0,18,,,,,,,,,,,,,,,,,,,,,,,,,34.21155840018764,34.71330280019902,34.69631520006806,36.482168700080365,space,1,0.44091350003145635,34.21155840018764,None,,,,,,,11035,001,2024_Mar_10_1406,gonogo_S,2021.2.3,59.85009945608526,
go,square.png,space,1843,1.843,2.343,0,1,1,64,,,,,,,,,,,,,,,,,,,,,,,,,36.49853470013477,36.998829500051215,36.98217310011387,38.83564400020987,space,1,0.3462437998969108,36.49853470013477,36.49853470013477,,,,,,,11035,001,2024_Mar_10_1406,gonogo_S,2021.2.3,59.85009945608526,
nogo,triangle.png,None,1790,1.79,2.29,0,2,2,93,,,,,,,,,,,,,,,,,,,,,,,,,38.851642000023276,39.35324910003692,39.33635680004954,41.1384929001797,None,1,,38.851642000023276,38.851642000023276,,,,,,,11035,001,2024_Mar_10_1406,gonogo_S,2021.2.3,59.85009945608526,
go,square.png,space,1865,1.865,2.365,0,3,3,75,,,,,,,,,,,,,,,,,,,,,,,,,41.15527250012383,41.65685959998518,41.6399980999995,43.50877620000392,space,1,0.30578409996815026,41.15527250012383,41.15527250012383,,,,,,,11035,001,2024_Mar_10_1406,gonogo_S,2021.2.3,59.85009945608526,
go,square.png,space,1445,1.445,1.945,0,4,4,74,,,,,,,,,,,,,,,,,,,,,,,,,43.52635430009104,44.026350600179285,44.009405500022694,45.46177160018124,space,1,0.2705652001313865,43.52635430009104,43.52635430009104,,,,,,,11035,001,2024_Mar_10_1406,gonogo_S,2021.2.3,59.85009945608526,
go,square.png,space,1331,1.331,1.831,0,5,5,27,,,,,,,,,,,,,,,,,,,,,,,,,45.4780686001759,45.98010840010829,45.96232350007631,47.297962200129405,space,1,0.3027649000287056,45.4780686001759,45.4780686001759,,,,,,,11035,001,2024_Mar_10_1406,gonogo_S,2021.2.3,59.85009945608526,
go,square.png,space,1209,1.209,1.709,0,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,47.31448120018467,47.81559430016205,47.79859060002491,49.018128800205886,space,1,0.3071877001784742,47.31448120018467,47.31448120018467,,,,,,,11035,001,2024_Mar_10_1406,gonogo_S,2021.2.3,59.85009945608526,
