TrialType,Path,Correct,ms,s,ks,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,welcome.started,welcome.stopped,space.started,space.stopped,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,Fixwarn.started,Fixwarn.stopped,table.started,table.stopped,key_resp__0.keys,key_resp__0.rt,key_resp__0.started,key_resp__0.stopped,type.started,type.stopped,space_3.started,space_3.stopped,key_resp_6.keys,key_resp_6.rt,key_resp_6.started,key_resp_6.stopped,stim_2.started,stim_2.stopped,text_2.started,text_2.stopped,key_resp_9.keys,key_resp_9.corr,key_resp_9.rt,key_resp_9.started,key_resp_9.stopped,END.started,END.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.started,key_resp_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
nogo,triangle.png,None,1790,1.79,2.29,0,15,15,93,,,,,,,,,,,,,,,,,,,,,,,,,194.47211540001445,194.9719270002097,194.95499190012924,196.7577719001565,None,1,,194.47211540001445,194.47211540001445,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
go,square.png,space,1967,1.967,2.467,0,16,16,54,,,,,,,,,,,,,,,,,,,,,,,,,196.77525940001942,197.27667130017653,197.25899560004473,199.2288018001709,space,1,0.2633527999278158,196.77525940001942,196.77525940001942,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
go,square.png,space,1428,1.428,1.928,0,17,17,62,,,,,,,,,,,,,,,,,,,,,,,,,199.24486710014753,199.74660620000213,199.72970720008016,201.16436020005494,space,1,0.27384000015445054,199.24486710014753,199.24486710014753,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
go,square.png,space,1843,1.843,2.343,0,18,18,64,,,,,,,,,,,,,,,,,,,,,,,,,201.1812604002189,201.68204080010764,201.66561330016702,203.51790720014833,space,1,0.26527890004217625,201.1812604002189,201.1812604002189,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
go,square.png,space,1731,1.731,2.231,0,19,19,42,,,,,,,,,,,,,,,,,,,,,,,,,203.53466350003146,204.0364815001376,204.01953400019556,205.755195800215,space,1,0.30390669987536967,203.53466350003146,203.53466350003146,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
go,square.png,space,1552,1.552,2.052,0,20,20,59,,,,,,,,,,,,,,,,,,,,,,,,,205.77187689999118,206.2733858001884,206.25773860001937,None,space,1,0.2588361999951303,205.77187689999118,205.77187689999118,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
go,square.png,space,1899,1.899,2.399,0,21,21,28,,,,,,,,,,,,,,,,,,,,,,,,,207.82537980005145,208.3253171001561,208.30859930021688,210.21271049999632,space,1,0.2531926999799907,207.82537980005145,207.82537980005145,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
go,square.png,space,1249,1.249,1.749,0,22,22,71,,,,,,,,,,,,,,,,,,,,,,,,,210.2281043000985,210.7298362001311,210.71226230007596,211.96425940003246,space,1,0.2511202001478523,210.2281043000985,210.2281043000985,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
go,square.png,space,1672,1.672,2.1719999999999997,0,23,23,84,,,,,,,,,,,,,,,,,,,,,,,,,211.9807971001137,212.4816913001705,212.4646353002172,214.15147780021653,space,1,0.29829940013587475,211.9807971001137,211.9807971001137,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
nogo,triangle.png,None,1577,1.577,2.077,0,24,24,89,,,,,,,,,,,,,,,,,,,,,,,,,214.1675587000791,214.66829659999348,214.65230260021053,216.23800850007683,None,1,,214.1675587000791,214.1675587000791,,,,,,,11038,001,2024_Mar_11_1627,gonogo_S,2021.2.3,59.9243395248409,
